Human Organ System,Major Organs,Lowest Structure,Lowest ID,Lowest Type,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
urinary system,Kidney,kidney collecting duct epithelial cell,CL:1000454,CT,,,Type A vs. B intercalated cell polarity@α – secrete – H⁺; β – secrete – HCO₃⁻,Type A vs. B intercalated cell polarity@α – secrete – H⁺; β – secrete – HCO₃⁻,,,,
urinary system,Kidney,epithelial cell of distal tubule,CL:0002305,Unknown,,,,Ca²⁺ reabsorption (DCT)@TRPV5 channels – mediates – distal Ca²⁺ reabsorption; PTH – increases – distal Ca²⁺ reabsorption,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,Cl⁻ reabsorption@Paracellular – mediates – transport in PT; NKCC2 – mediates – ion reabsorption in TAL; NaCl cotransporter – mediates – NaCl reabsorption in DCT,,,,,
urinary system,Kidney,kidney loop of Henle epithelial cell,CL:1000909,Unknown,,,,Free water excretion@Low ADH – reduces – water reabsorption; High DTL/TAL flow – washes out – medullary gradient,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,Na⁺ reabsorption (bulk)@Na⁺/H⁺ – exchange – ions; Na⁺-solute – cotransport – solutes; Water – follows – osmotic gradient,,,,,
urinary system,Kidney,kidney collecting duct epithelial cell,CL:1000454,CT,,,H⁺/K⁺ exchange@α-IC cells – secrete – H⁺; α-IC cells – reabsorb – K⁺,,,,,
urinary system,Kidney,renal cortex tubule,UBERON:0006853,Unknown,,,Organic anion secretion@PAH – secreted – PT; Oxalate – secreted – PT; Sulfate – secreted – PT,,,,,
urinary system,Kidney,kidney collecting duct epithelium,UBERON:0014388,Unknown,,,Intrarenal dopamine@Dopamine – promotes – natriuresis in PT/CD,Intrarenal dopamine@Dopamine – promotes – natriuresis in PT/CD,,,,
urinary system,Kidney,kidney loop of Henle epithelial cell,CL:1000909,Unknown,,ROMK recycling in TAL@K⁺ recycling – drives – lumen +ve voltage,ROMK recycling in TAL@K⁺ recycling – drives – lumen +ve voltage,,,,,
urinary system,Kidney,epithelial cell of distal tubule,CL:0002305,Unknown,,,NaCl reabsorption (DCT)@Thiazide-sensitive NaCl cotransporter – mediates – NaCl reabsorption,,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,,"1,25(OH)₂D synthesis@Proximal tubule converts 25(OH)D – leads to – 1,25(OH)₂D",,,
urinary system,Kidney,renal cortex interstitium,UBERON:0005270,Unknown,,,,,Erythropoietin@Cortical interstitial fibroblasts – produce – EPO； Hypoxia – stimulates – EPO production,,,
urinary system,Kidney,kidney collecting duct epithelium,UBERON:0014388,Unknown,,,"ANP-mediated natriuresis@ANP dilates afferent, constricts efferent – leads to – ↑ GFR & Na⁺ excretion","ANP-mediated natriuresis@ANP dilates afferent, constricts efferent – leads to – ↑ GFR & Na⁺ excretion",,,,
urinary system,Kidney,podocyte,CL:0000653,CT,Podocyte slit diaphragm@Barrier – filters – solutes based on charge and size,,,,,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,Autoregulation@Afferent arteriole – constricts – in response to pressure ↑,,,,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,Tubuloglomerular feedback@Macula densa – senses – NaCl; Macula densa – adjusts – afferent tone,Tubuloglomerular feedback@Macula densa – senses – NaCl; Macula densa – adjusts – afferent tone,,,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,,Mesangial cell contractility@Mesangial cells – alter – filtration surface area,Mesangial cell contractility@Mesangial cells – alter – filtration surface area,,,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,,Glomerular filtration@Glomerular filtration barrier – filters – plasma water/solutes; Filtration – selective for – size and charge,,,,,,
urinary system,Kidney,renal cortex peritubular capillary,UBERON:0006851,Unknown,"Filtration dynamics@P_gc, P_bs, π_gc – determine – GFR; Hydrostatic and oncotic pressures – regulate – filtration rate",,,,,,,
urinary system,Kidney,renal efferent arteriole,UBERON:0004640,AS,,Filtration fraction@RPF – filtered fraction – GFR/RPF; GFR – equals – 20% of RPF,,,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,Gluconeogenesis@Renal cortex – generates – glucose from substrates (esp. fasting),,,,
urinary system,Kidney,kidney capillary endothelial cell,CL:1000892,Unknown,,,Renal plasma flow@PAH clearance – approximates – effective renal plasma flow (eRPF),,,,,
urinary system,Kidney,kidney afferent arteriole cell,CL:1001006,Unknown,,Afferent vs. efferent constriction@Afferent arteriole – constriction – decreases GFR,,,,,,
urinary system,Kidney,kidney collecting duct principal cell,CL:1001431,CT,,,,Aldosterone action@Efferent arteriole – constriction – increases GFR,,,,
urinary system,Kidney,kidney collecting duct principal cell,CL:1001431,CT,,,,Kidney–lung acid–base synergy@Aldosterone – increases – ENaC activity,Kidney–lung acid–base synergy@Aldosterone – increases – ENaC activity,,,
urinary system,Kidney,distal convoluted tubule,UBERON:0001292,AS,,,,"Mg²⁺ reabsorption@TAL – paracellular transport – ions (Na⁺, Mg²⁺, Ca²⁺)",,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,Gluconeogenesis@DCT – TRPM6 – Mg²⁺ reabsorption,Gluconeogenesis@DCT – TRPM6 – Mg²⁺ reabsorption,,,
urinary system,,,,Unknown,,,,Gluconeogenesis@Renal cortex – generates – glucose from substrates (esp. fasting),Gluconeogenesis@Renal cortex – generates – glucose from substrates (esp. fasting),,,
urinary system,Kidney,lymph vasculature,UBERON:0004536,Unknown,,,,Renal lymphatics@Lymphatic system – drains – interstitial fluid & supports immune surveillance,Renal lymphatics@Lymphatic system – drains – interstitial fluid & supports immune surveillance,,,
urinary system,Lower urinary tract,urinary bladder detrusor smooth muscle,UBERON_0000381,Unknown,,Bladder emptying@Parasympathetic system – contracts – detrusor muscle; voluntary control – relaxes – external urethral sphincter,,,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,"Uric acid handling@Substance – filtered, partially reabsorbed & secreted – renal tubule",,,,
urinary system,Kidney,renal cortex tubule,UBERON:0006853,Unknown,,,Creatinine clearance@Endogenous marker – approximates – GFR,Creatinine clearance@Endogenous marker – approximates – GFR,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,Glucose reabsorption@SGLT2 (S1/S2) and SGLT1 (S3) – reabsorb – glucose; basolateral GLUT2 – transports – glucose to interstitium,,,,,
urinary system,Kidney,brush border epithelial cell,CL:0000239,Unknown,,,Amino acid reabsorption@Proximal tubule cotransporters – reclaim – nearly all amino acids,,,,,
urinary system,Kidney,kidney proximal convoluted tubule epithelial cell,CL:1000838,Unknown,,,Lactate reabsorption@Lactate – reabsorbed – with H⁺ and Na⁺ in proximal tubule,,,,,
urinary system,Kidney,renal cortex tubule,UBERON:0006853,Unknown,,,Creatinine secretion@Creatinine – ~10% secreted – in proximal tubule,,,,,
urinary system,Kidney,renal cortex tubule,UBERON:0006853,Unknown,,,Creatinine & drugs@Organic cation transporters (OCTs) – secrete – cations into proximal tubule lumen,,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,"Organic acid secretion@PAH, creatinine, penicillin – secreted – into proximal tubule lumen",,,,,
urinary system,Kidney,brush border epithelial cell,CL:0000239,Unknown,,,Peptide/protein reabsorption@Megalin/cubilin – mediate – endocytosis of filtered peptides,,,,,
urinary system,Kidney,Loop of Henle,UBERON:0001288,Unknown,,,,Countercurrent multiplier@Descending limb – permeable – to water,,,,
urinary system,Kidney,descending thin limb,UBERON:0005096,AS,,Thin descending limb@Thick ascending limb – exports – solutes via NKCC2,Thin descending limb@Thick ascending limb – exports – solutes via NKCC2,,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,AS,,,Thin ascending limb@Thin ascending limb – reabsorbs – NaCl passively; impermeable – to water,,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,Pi reabsorption (Na⁺–Pi)@PTH – reduces – Na⁺-Pi cotransporters in proximal tubule,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,"K⁺ reabsorption (PT, TAL)@Proximal tubule – reabsorbs – solutes via paracellular transport (solvent drag/diffusion)",,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,AS,,,"K⁺ reabsorption (PT, TAL)@Thick ascending limb – reabsorbs – solutes via NKCC2",,,,,
urinary system,Kidney,epithelial cell of distal tubule,CL:0002305,Unknown,,,K⁺ secretion (late DT/CD)@Principal cells – secrete – K⁺,,,,,
urinary system,Kidney,nephron,UBERON:0001285,AS,,,,Pressure natriuresis@↑ arterial pressure – leads to – ↑ Na⁺ excretion independent of hormones,,,,
urinary system,Kidney,kidney capillary endothelial cell,CL:1000892,Unknown,,,Vasa recta countercurrent exchange@Vasa recta – preserves – medullary osmotic gradient,Vasa recta countercurrent exchange@Vasa recta – preserves – medullary osmotic gradient,,,,
urinary system,Kidney,kidney efferent arteriole endothelial cell,CL:1001099,CT,,Renal vasoconstriction@Sympathetic activity – reduces – renal blood flow (RBF) and glomerular filtration rate (GFR),,,,,,
urinary system,Kidney,kidney collecting duct epithelium,UBERON:0014388,Unknown,,,Urea recycling (IMCD)@ADH – increases – UT-A1/UT-A3 expression; urea – recycled – to inner medulla,,,,,
urinary system,Ureter,urinary bladder smooth muscle,UBERON_0004228,Unknown,,Peristalsis@Smooth muscle – contracts in waves – to drive urine to bladder,,,,,,
urinary system,Kidney,kidney arterial blood vessel,UBERON:0003644,Unknown,,,Endothelin@Endothelin – acts as – strong intrarenal vasoconstrictor,,,,,
urinary system,Kidney,kidney afferent arteriole cell,CL:1001006,Unknown,,,Prostaglandins & NO@Vasodilatory mechanisms counteract Ang II–mediated vasoconstriction,,,,,
urinary system,Kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,,Natriuresis & diuresis@Volume expansion promotes natriuresis and diuresis,,,,
urinary system,Bladder outlet,external urethral sphincter,UBERON:0004919,Unknown,,External sphincter@Pudendal nerve maintains external urethral sphincter tone,,,,,,
urinary system,Kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,ADH-dependent water reabsorption@V2 receptor signaling promotes AQP2 insertion in principal cells,,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,AQP1-mediated water reabsorption@Na⁺ reabsorption always active in proximal tubule (PT) and descending thin limb,AQP1-mediated water reabsorption@Na⁺ reabsorption always active in proximal tubule (PT) and descending thin limb,,,,,
urinary system,Kidney,glomerular capillary endothelial cell,CL:1001005,CT,Renal blood flow@Renal blood flow (RBF) ≈ 1.1 L/min (~25% of cardiac output); RBF = ΔP / R,,,,,,,
urinary system,Kidney,kidney epithelial cell,CL:0002518,Unknown,,pump-leak systems@Solute transport establishes diffusion gradient in epithelial cells,pump-leak systems@Solute transport establishes diffusion gradient in epithelial cells,,,,,
urinary system,Kidney,peritubular capillary endothelial cell,CL:1001033,CT,,,fluid uptake@Bulk flow of interstitial fluid supports peritubular capillary reabsorption,fluid uptake@Bulk flow of interstitial fluid supports peritubular capillary reabsorption,,,,
urinary system,Kidney,epithelial cell of proximal tubule,CL:0002306,CT,,,"Organic Nutrients[VitB&C, Acetate, ketones, Kreb cycle intermediates]@Reabsorption of 100% of filtered organic nutrients in the proximal tubule (PCT)","Organic Nutrients[VitB&C, Acetate, ketones, Kreb cycle intermediates]@Reabsorption of 100% of filtered organic nutrients in the proximal tubule (PCT)",,,,
urinary system,Kidney,kidney epithelial cell,CL:0002518,Unknown,,,,Urea@Urea reabsorption occurs in PCT (50%) and IMCD (10%) contributing to medullary osmotic gradient,Urea@Urea reabsorption occurs in PCT (50%) and IMCD (10%) contributing to medullary osmotic gradient,,,
urinary system,Kidney,kidney epithelial cell,CL:0002518,Unknown,,"water reabsorption@Segmental reabsorption of Na⁺ and water: PCT 65%, PST 5%, DTL 5%, CD 5–25%","water reabsorption@Segmental reabsorption of Na⁺ and water: PCT 65%, PST 5%, DTL 5%, CD 5–25%",,,,,
urinary system,kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,,urine concentration and volume regulation@CD reabsorbs H₂O due to osmotic gradient (300 → 1400 mOsm/L),,,,
urinary system,kidney,kidney loop of Henle epithelial cell,CL:1000909,Unknown,,,,"urine concentration and volume regulation@PST & DTL permeable to H₂O, impermeable to Na⁺/Cl⁻; ATL & DST opposite → maintain corticomedullary gradient",,,,
urinary system,kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,,urine concentration and volume regulation@50% of medullary interstitial hyperosmolarity maintained at tip of medulla,urine concentration and volume regulation@50% of medullary interstitial hyperosmolarity maintained at tip of medulla,,,
urinary system,kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,urine concentration and volume regulation@Maintenance of corticomedullary osmotic gradient,urine concentration and volume regulation@Maintenance of corticomedullary osmotic gradient,,,,
urinary system,kidney,nephron,UBERON:0001285,AS,,,Control of Na+ and H2O@Water excretion = GFR × [P]H₂O – H₂O reabsorbed,Control of Na+ and H2O@Water excretion = GFR × [P]H₂O – H₂O reabsorbed,,,,
urinary system,,,,Unknown,,,,,,,,
urinary system,kidney,kidney epithelial cell,CL:0002518,Unknown,,,Control of Na+ and H2O@↓ Na⁺ in DST sensed by macula densa → RAAS activation → ↑ Na⁺ reabsorption,Control of Na+ and H2O@↓ Na⁺ in DST sensed by macula densa → RAAS activation → ↑ Na⁺ reabsorption,,,,
urinary system,,,,Unknown,,,,,,,,
urinary system,kidney,kidney epithelial cell,CL:0002518,Unknown,,,"Control of Na+ and H2O@↑ Na⁺ in DST or ↑ BP → ↑ ANP → ↓ RAAS, ↑ GFR, ↓ ADH → ↓ Na⁺ reabsorption","Control of Na+ and H2O@↑ Na⁺ in DST or ↑ BP → ↑ ANP → ↓ RAAS, ↑ GFR, ↓ ADH → ↓ Na⁺ reabsorption",,,,
urinary system,,,,Unknown,,,,,,,,
urinary system,kidney,kidney epithelial cell,CL:0002518,Unknown,"Control of K+@PCT absorbs 55%, DST 30%, DCT & cortical CD reabsorb/secrete, medullary CD reabsorbs K⁺",,,,,,,
urinary system,kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,,,Control of K+@↓ [P]K⁺ sensed by ZG cells → ↓ aldosterone → ↓ K⁺ secretion by CD,,,
urinary system,kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,,Control of K+@↑ [P]K⁺ monitored by zona glomerulosa (ZG) cells → ↑ aldosterone → ↑ K⁺ secretion by CD,Control of K+@↑ [P]K⁺ monitored by zona glomerulosa (ZG) cells → ↑ aldosterone → ↑ K⁺ secretion by CD,,,
urinary system,kidney,epithelial cell of distal tubule,CL:0002305,Unknown,"Renal Handling of Ca2+ and PO4 2-@PCT absorbs 80%, DST 10%, DCT & CD reabsorb 5% respectively",,,,,,,
urinary system,kidney,kidney proximal convoluted tubule epithelial cell,CL:1000838,Unknown,,,,Renal Handling of Ca2+ and PO4 2-@PCT reabsorbs 85% of filtered solute; remaining 15% is secreted,Renal Handling of Ca2+ and PO4 2-@PCT reabsorbs 85% of filtered solute; remaining 15% is secreted,,,
urinary system,kidney,kidney proximal convoluted tubule epithelial cell,CL:1000838,Unknown,,,,,Control of Ca2+ and PO4 2-@Ca²⁺ excretion = (GFR × [P]Ca²⁺) – Ca²⁺ reabsorbed,Control of Ca2+ and PO4 2-@Ca²⁺ excretion = (GFR × [P]Ca²⁺) – Ca²⁺ reabsorbed,,
urinary system,kidney,kidney proximal convoluted tubule epithelial cell,CL:1000838,Unknown,,,,Control of Ca2+ and PO4 2-@[P]Ca²⁺ controlled by Vitamin D (liver & PCT hydroxylation),Control of Ca2+ and PO4 2-@[P]Ca²⁺ controlled by Vitamin D (liver & PCT hydroxylation),,,
urinary system,kidney,kidney proximal convoluted tubule epithelial cell,CL:1000838,Unknown,,,,Control of Ca2+ and PO4 2-@Ca²⁺ regulation is interrelated with other electrolyte and hormonal controls,Control of Ca2+ and PO4 2-@Ca²⁺ regulation is interrelated with other electrolyte and hormonal controls,,,
urinary system,kidney,kidney afferent arteriole endothelial cell,CL:1001096,CT,,,,,angiotensin-activated signaling pathway@Angiotensinogen → Renin → Ang I → ACE → Ang II,,,
urinary system,kidney,kidney afferent arteriole endothelial cell,CL:1001096,CT,,,angiotensin-activated signaling pathway@AT1 mediates classical RAAS effects; AT2 opposes AT1,angiotensin-activated signaling pathway@AT1 mediates classical RAAS effects; AT2 opposes AT1,,,,
urinary system,ureter,ureter,UBERON:0000056,Unknown,,,peristalsis@Ureteral peristalsis propels urine from renal pelvis to bladder,,,,,
urinary system,ureter,ureter,UBERON:0000056,Unknown,,,,flow adjustment@Adjust urine flow via peristalsis and pressure sensing,,,,
urinary system,ureter,ureter,UBERON:0000056,Unknown,,,,,tissue remodeling@Structural adaptation of urinary tract tissues,,,
urinary system,bladder,urinary bladder,UBERON:0001255,Unknown,,stretch reflex@Bladder wall stretch triggers micturition reflex,,,,,,
urinary system,bladder,urinary bladder,UBERON:0001255,Unknown,,,micturition@Coordinated CNS and PNS control of bladder emptying,,,,,
urinary system,bladder,urinary bladder,UBERON:0001255,Unknown,,,,storage-voiding cycles@Alternating phases of urine storage and voiding,,,,
urinary system,bladder,urinary bladder,UBERON:0001255,Unknown,,,,,sensory adaptation@Adjustment of sensory input during bladder filling,,,
urinary system,urethra,urethra,UBERON:0000057,Unknown,,external sphincter reflex@Reflexive contraction/relaxation of external sphincter,,,,,,
