endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,insulin,increases,X secretion,amylin,,,,,"minutes, hours",autocrine,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,organism,endocrine system,endocrine system,UBERON:0000949,endocrine system,endocrine system,UBERON:0000949,glucose,increases,transition to X,fed status,,,,,"minutes, hours",systemic,systemic,,,,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,somatostatin production,somatostatin secretion,GO:0070253,,,,,,,,,,,,,,somatostatin is produced by delta cells to inhibit both glucagon and insulin secretion,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,delta cell,pancreatic D cell,CL:0000173,,does,X secretion,somatostatin,,,"[0, 30]",units = pg/mL,"minutes, hours",,"paracrine, circulatory",plasma somatostatin,Somatostatin [Mass/volume] in Plasma,2961-1,,,,,,,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,pancreatic polypeptide production,pancreatic polypeptide secretion,GO:0036322,,,,,,,,,,,,,,pancreatic polypeptide reduces appetite and decreases gastric and pancreatic secretions,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,F cell,PP cell,CL:0000696,,does,X secretion,pancreatic polypeptide,,,"[0, 300]","units = pg/mL, typically increases by 200pg/mL after feeding","minutes, hours",,"paracrine, circulatory",,,,,,,,,,,,,gallbladder emptying,,,gi motility,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,pancreatic polypeptide production,pancreatic polypeptide secretion,GO:0036322,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,F cell,PP cell,CL:0000696,fasted status,decreases,X secretion,pancreatic polypeptide,,,,,"minutes, hours",systemic,"paracrine, circulatory",,,,,,,,,,,,,gallbladder emptying,,,gi motility,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,pancreatic polypeptide production,pancreatic polypeptide secretion,GO:0036322,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,F cell,PP cell,CL:0000696,fed status,increases,X secretion,pancreatic polypeptide,,,,,"minutes, hours",systemic,"paracrine, circulatory",,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,pancreatic polypeptide production,pancreatic polypeptide secretion,GO:0036322,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,F cell,PP cell,CL:0000696,pancreatic polypeptide,decreases,X secretion,bicarbonate,,,,,"minutes, hours",intra-organ,"paracrine, circulatory",,,,,,,,,,,,,gallbladder emptying,,,gi motility,,,pancreatic bicarbonate secretion,,,pancreatic exocrine secretion,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,C-peptide production,,,,,,,,,,,,,,,,"c-peptide is a byproduct of insulin production, cleaved from pro-insulin",cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,,does,X secretion,C-peptide,,,"[0.5, 2.0] ",units = ng/mL,"minutes, hours",,paracrine,plasma C-peptide,,1986-9,,,,,,,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,amylin production,,,,,,,,,,,,,,,,amylin slows gastric emptying and suppresses postprandial glucagon; co-secreted with insulin,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,,does,X secretion,amylin,,,"[4.5, 9.5]","units = pmol/L, increased up to 25-30pmol/L post feeding","minutes, hours",,"paracrine, circulatory",,,,,,,,,,,,,glycogen storage,,,gastric emptying,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,amylin production,,,,,,,,,,,,,,,,,organ,digestive system,digestive tract,UBERON:0001007,stomach,stomach,UBERON:0000945,glp-1,decreases,X export,gastric contents,,,,,minutes,circulatory,intra-organ,,,,,,,,,,,,,glycogen storage,,,gastric emptying,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,amylin production,,,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,amylin,decreases,X secretion,glucagon,,,,,"minutes, hours",paracrine,"paracrine, circulatory",,,,,,,,,,,,,glycogen storage,,,gastric emptying,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,multicellular organismal-level water homeostasis,GO:0050891,aldosterone production,aldosterone secretion,GO:0035932,,,,,,,,,,,,,,aldosterone promotes sodium reuptake and potassium excretion in the distal convoluted tubule,tissue,cortex,adrenal cortex,UBERON:0001235,zona glomerulosa,zona glomerulosa of adrenal gland,UBERON:0002053,,does,X secretion,aldosterone,,,"[0, 21]",units = ng/dL,minutes,,circulatory,plasma aldosterone,,1763-2,aldosterone/plasma renin activity ratio in plasma,,30894-0,,,,,,,hpa axis,,,raas ,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,6,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,multicellular organismal-level water homeostasis,GO:0050891,aldosterone production,aldosterone secretion,GO:0035932,,,,,,,,,,,,,,,tissue,cortex,adrenal cortex,UBERON:0001235,zona glomerulosa,zona glomerulosa of adrenal gland,UBERON:0002053,renin,increases,X secretion,aldosterone,,,,,minutes,circulatory,circulatory,plasma aldosterone,,1763-2,aldosterone/plasma renin activity ratio in plasma,,30894-0,,,,,,,hpa axis,,,raas ,,,distal convoluted tubule ,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,6,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,stress response,response to stress,GO:0006950,cortisol production,cortisol secretion,GO:0043400,,,,,,,,,,,,,,cortisol increases gluconeogenesis and suppresses the immune system,tissue,cortex,adrenal cortex,UBERON:0001235,zona fasciculata,zona fasciculata of adrenal gland,UBERON:0002054,,does,X secretion,cortisol,,,"[5, 25]","units = µg/dL, range is [5-25] in the morning, [0, 10] in the afternoon","minutes, hours",,circulatory,24 hour urine cortisol,,2147-7,plasma cortisol,,2143-6,,,,,,,hpa axis,,,igf-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,6,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,does,X secretion,glucose,,,"[60, 80]","units = mg/dL, Target is [100, 140] 2 hours after a mixed meal","minutes, hours",,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,glucagon,increases,X secretion,glucose,,,,,"minutes, hours",circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,insulin,decreases,X secretion,glucose,,,,,"minutes, hours",circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,fed status,decreases,X secretion,glucose,,,,,"minutes, hours",systemic,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,fasted status,increases,X secretion,glucose,,,,,"minutes, hours",systemic,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,cortisol,increases,X secretion,glucose,,,,,"minutes, hours",circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,glucose,decreases,X secretion,glucose,,,,,"minutes, hours",circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,striated muscle cell,striated muscle cell,CL:0000737,glucagon,increases,X secretion,glucose,,,,,"minutes, hours",circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,gluconeogenesis,gluconeogenesis,GO:0006094,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,striated muscle cell,striated muscle cell,CL:0000737,insulin,decreases,X secretion,glucose,,,,,"minutes, hours",circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,
