Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003024,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Classify transfer limitation,,,,,,,,,,,,,,,,Diffusion- vs perfusion-limited gases:  CO: avid Hb binding → no back-pressure → diffusion-limited,Tissue,Lung,lung,UBERON:0002048,Pulmonary capillary,pulmonary capillary,UBERON:0016405,,does,X diffusion,CO diffusion,,mL·min⁻¹·mmHg⁻¹,Diffusion- vs perfusion-limited gases, CO: avid Hb binding → no back-pressure → diffusion-limited,Classify transfer limitation,,Segmental (intra-organ),Seconds,End-capillary vs alveolar partial pressures,,,,,,,,,,,,Back-pressure determined by Hb binding,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-14,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003024,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Classify transfer limitation,,,,,,,,,,,,,,,,Diffusion- vs perfusion-limited gases:  N₂O: no Hb binding → rapid equilibration → perfusion-limited,Tissue,Lung,lung,UBERON:0002048,Pulmonary capillary,pulmonary capillary,UBERON:0016405,,does,X perfusion,N2O perfusion,,mL·min⁻¹,Diffusion- vs perfusion-limited gases, N₂O: no Hb binding → rapid equilibration → perfusion-limited,Classify transfer limitation,,Segmental (intra-organ),Seconds,End-capillary vs alveolar partial pressures,,,,,,,,,,,,Back-pressure determined by Hb binding,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-14,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003024,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Classify transfer limitation,,,,,,,,,,,,,,,,"Diffusion- vs perfusion-limited gases:  O₂: usually perfusion-limited, can become diffusion-limited",Tissue,Lung,lung,UBERON:0002048,Pulmonary capillary,pulmonary capillary,UBERON:0016405,,does,X perfusion,O2 perfusion,,mL·min⁻¹,Diffusion- vs perfusion-limited gases," O₂: usually perfusion-limited, can become partly diffusion-limited",Classify transfer limitation,,Segmental (intra-organ),Seconds,End-capillary vs alveolar partial pressures,,,,,,,,,,,,Back-pressure determined by Hb binding,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-14,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003025,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,O₂ uptake along capillary (normal),import across plasma membrane,GO:0098739,,,,,,,,,,,,,,Rapid equilibration with reserve:  Mixed-venous PO₂ ≈40 → Alveolar PO₂ ≈100 mmHg,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,pulmonary capillary,UBERON:0016405,,does,X equilibrium,oxygen,,,Rapid equilibration with reserve, Mixed-venous PO₂ ≈40 → Alveolar PO₂ ≈100 mmHg,O₂ uptake along capillary (normal),,Intra-organ,Seconds,A–a O₂gradient,,,,,,,,,,,,Reserve capacity buffers exercise/altitude,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-15,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003025,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,O₂ uptake along capillary (normal),import across plasma membrane,GO:0098739,,,,,,,,,,,,,,Rapid equilibration with reserve:  Equilibration by ~0.25 s (≈1/3 transit),Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,pulmonary capillary,UBERON:0016405,,does,X equilibrium,O2,,,Rapid equilibration with reserve, Equilibration by ~0.25 s (≈1/3 transit),O₂ uptake along capillary (normal),,Intra-organ,Seconds,A–a O₂gradient,,,,,,,,,,,,Reserve capacity buffers exercise/altitude,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-15,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003025,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,O₂ uptake along capillary (normal),import across plasma membrane,GO:0098739,,,,,,,,,,,,,,Rapid equilibration with reserve:  End-capillary – alveolar PO₂ gradient ≈0,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,pulmonary capillary,UBERON:0016405,,does,X equilibrium,end-capillary oxygen,,%,Rapid equilibration with reserve, End-capillary – alveolar PO₂ gradient ≈0,O₂ uptake along capillary (normal),,Intra-organ,Seconds,A–a O₂gradient,,,,,,,,,,,,Reserve capacity buffers exercise/altitude,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-15,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003026,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,O₂ uptake under stress,import across plasma membrane,GO:0098739,,,,,,,,,,,,,,"Exercise, hypoxia, thickened barrier:  Exercise: transit time ↓ to ~0.25 s",Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung,UBERON:0002048,exercise,does,X reduction,capillary transit time,,s,"Exercise, hypoxia, thickened barrier", Exercise: transit time ↓ to ~0.25 s,O₂ uptake under stress,Systemic,Sytemic,Seconds,Arterial Oxygen Pressure,,,,,,,,,,,,_P and time jointly govern equilibration,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-16,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003026,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,O₂ uptake under stress,import across plasma membrane,GO:0098739,,,,,,,,,,,,,,"Exercise, hypoxia, thickened barrier:  Alveolar hypoxia: ΔP (A–v) ↓ to ~30 mmHg",Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung,UBERON:0002048,,does,X reduction of Y,alveolar oxygen,diffusion gradient,mmHg,"Exercise, hypoxia, thickened barrier", Alveolar hypoxia: ΔP (A–v) ↓ to ~30 mmHg,O₂ uptake under stress,,Sytemic,Seconds,Arterial Oxygen Pressure,,,,,,,,,,,,_P and time jointly govern equilibration,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-16,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003026,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,O₂ uptake under stress,import across plasma membrane,GO:0098739,,,,,,,,,,,,,,"Exercise, hypoxia, thickened barrier:  Thickened barrier: diffusion rate ↓. (I dont usually think of diffusion as a rate - the transit time is a rate)",Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung,UBERON:0002048,,does,X regulation of Y,membrane thickness,diffusion capacity,µm,"Exercise, hypoxia, thickened barrier", Thickened barrier: diffusion rate ↓,O₂ uptake under stress,,Sytemic,Seconds,Arterial Oxygen Pressure,,,,,,,,,,,,_P and time jointly govern equilibration,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-16,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003027,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Measure diffusing capacity,,,,,,,,,,,,,,,,DLCO by single-breath CO:  DLCO = V̇CO / PACO (CO back-pressure ≈0),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung,UBERON:0002048,,does,X equivalence to Y,Lung diffusing capacity for carbon monoxide (DLCO) ,the rate of CO transfer divided by alveolar CO partial pressure,mL·min⁻¹·mmHg⁻¹,DLCO by single-breath CO, DLCO = V̇CO / PACO (CO back-pressure ≈0),Measure diffusing capacity,,Sytemic,Seconds–minutes,Diffusing Capacity of the Lung for Carbon Monoxide,,,,,,,,,,,,He for VA,,, workload increases Vc,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-17,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003028,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Partition diffusion resistance,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,DM–θ·Vc model of DL:  1/DL = 1/DM + 1/(θ·Vc),Organ,Lung,lung,UBERON:0002048,Lung,lung,UBERON:0002048,,does,X equivalence to Y,The total resistance to gas transfer ,the sum of membrane resistance and blood resistance,mmHg·min·mL⁻¹,DM–θ·Vc model of DL, 1/DL = 1/DM + 1/(θ·Vc),Partition diffusion resistance,,Intra-organ,Seconds–minutes,Diffusing Capacity of the Lung for Carbon Monoxide corrections for Hb,,,Alveolar Volume,Diffusion capacity/Alveolar volume,19916-6,,,,,,,O₂ breathing lowers θCO (competition),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-18,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003028,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Partition diffusion resistance,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,DM–θ·Vc model of DL: Diffusion Membrane conductance depends on surface area (A) and thickness (T),Organ,Lung,lung,UBERON:0002048,Lung,lung,UBERON:0002048,surface area,increases,X diffusion across Y,gas,alveolar-capillary membrane,mL·min⁻¹,DM–θ·Vc model of DL,Diffusion Membrane conductance depends on surface area (A) and thickness (T),Partition diffusion resistance,intra-organ,Intra-organ,Seconds–minutes,Diffusing Capacity of the Lung for Carbon Monoxide corrections for Hb,,,Alveolar Volume,Diffusion capacity/Alveolar volume,19916-6,,,,,,,O₂ breathing lowers θCO (competition),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-18,3,,,,,,,,,
