Whole Person Physiome Table for Connective-Tissue system: Fascia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Rebecca Wells,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6988-4102,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Fascia: The Tensional Network of the Human Body (2e, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,11/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
The physiology of fascia- Immune–Inflammatory Mediators,fascia adherens,GO:0005916,Fatty acids and prostaglandins,,,Regulate inflammatory balance in healing,wound healing involved in inflammatory response,GO:0002246,,,,,,,,,,,,,,,,,"Omega-6 fatty acids produce prostaglandin 2, while omega-3 fatty acids support prostaglandins 1 and 3 that counteract inflammation",Tissue,Local inflammatory microenvironment,connective tissue,UBERON:0002384,Immune cell; fibroblast,connective tissue cell,CL:0002320,Omega-6 fatty acids,increases,X modulation of Y,Prostaglandins 2,inflammatory response,,circulatory,Tissue,days,C-reactive protein,,, ESR,Erythrocyte [Sedimentation Rate] in Blood,30341-2,,,,,,,prostaglandin–inflammation interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Immune–Inflammatory Mediators,fascia adherens,GO:0005916,Fatty acids and prostaglandins,,,Regulate inflammatory balance in healing,wound healing involved in inflammatory response,GO:0002246,,,,,,,,,,,,,,,,,"Omega-6 fatty acids produce prostaglandin 2, while omega-3 fatty acids support prostaglandins 1 and 3 that counteract inflammation",Tissue,Local inflammatory microenvironment,connective tissue,UBERON:0002384,Immune cell; fibroblast,connective tissue cell,CL:0002320,Omega-3 fatty acids,increases,X modulation of Y,Prostaglandins 1,inflammatory response,,circulatory,Tissue,days,C-reactive protein,,, ESR,Erythrocyte [Sedimentation Rate] in Blood,30341-2,,,,,,,prostaglandin–inflammation interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Immune–Inflammatory Mediators,fascia adherens,GO:0005916,Fatty acids and prostaglandins,,,Regulate inflammatory balance in healing,wound healing involved in inflammatory response,GO:0002246,,,,,,,,,,,,,,,,,"Omega-6 fatty acids produce prostaglandin 2, while omega-3 fatty acids support prostaglandins 1 and 3 that counteract inflammation",Tissue,Local inflammatory microenvironment,connective tissue,UBERON:0002384,Immune cell; fibroblast,connective tissue cell,CL:0002320,Omega-3 fatty acids,increases,X modulation of Y,Prostaglandins 3,inflammatory response,,circulatory,Tissue,days,C-reactive protein,,, ESR,Erythrocyte [Sedimentation Rate] in Blood,30341-2,,,,,,,prostaglandin–inflammation interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Immune–Inflammatory Mediators,fascia adherens,GO:0005916,Immune system and chronic inflammation,inflammatory response,GO:0006954,Control immune defense and tissue regeneration,tissue regeneration,GO:0042246,,,,,,,,,,,,,,,,,"Immune weakness or loss of lymphoid organs leads to autoimmune reactions, chronic inflammation, and poor regeneration",Organ system,Immune system; inflamed connective tissues,connective tissue,UBERON:0002384,Lymphocyte,connective tissue cell,CL:0002320,Immune weakness or loss of lymphoid organs,increases,X reactions,autoimmune,chronic inflammation,,Systemic,Systemic,years,Autoantibody panels,,, ESR,ESRD antibiotic panel,71470-9, CRP,PhenX - C reactive protein (CRP) protocol 660601,105848-6, leukocyte count,Leukocyte count or protein test was performed on CSF and test findings [CDC.CS],75196-6,immunity–regeneration interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Perfusion/ vascular factors,fascia adherens,GO:0005916,Perfusion and smoking/atherosclerosis,,,Deliver nutrients and oxygen to healing tissues,wound healing,GO:0042060,,,,,,,,,,,,,,,,,Smoking and atherosclerosis reduce tissue perfusion and thereby worsen healing prognosis,Organ system,Microvasculature supplying connective tissues; multiple tissues,connective tissue,UBERON:0002384,Microvasculature supplying connective tissues,connective tissue,UBERON:0002384,Nicotine and atherosclerosis,decreases,X modulation of Y,connective tissue,tissue perfusion,,circulatory,Systemic,years,Ankle–brachial index,,, Doppler flow study,,,,,,,,,perfusion–healing interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Neuroendocrine regulation,fascia adherens,GO:0005916,Somatic dysfunction and pain physiology,behavioral response to pain,GO:0048266,Coordinate systemic response to nociception,sensory perception of pain,GO:0019233,,,,,,,,,,,,,,,,,"Nociceptive input alters neuroendocrine activity, autonomic tone, muscle tone, sleep–wake rhythm, and behavior",Organ system,Neuroendocrine system; autonomic nervous system; locomotor apparatus,respiratory system connective tissue,UBERON:0003570,Neuroendocrine system; autonomic nervous system; locomotor apparatus,respiratory system connective tissue,UBERON:0003570,,does,X modulation of Y,Nociceptive input,"neuroendocrine activity, autonomic tone, muscle tone, sleep–wake rhythm, and behavior",,,Systemic,seconds,Pain VAS/NRS,,, heart rate,Heart rate,8867-4, blood pressure,Blood pressure panel,35094-2,,,,nociception–systemic response interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Neuroendocrine regulation,fascia adherens,GO:0005916,Viscerosomatic reflex,reflex,GO:0060004,Link visceral irritation to somatic tissue changes,response to stimulus,GO:0050896,,,,,,,,,,,,,,,,,"Visceral afferent activity from pelvic and abdominal organs produces segmental changes in skin, fascia, muscle, and joints around T10–L2",Organ system,Paraspinal tissues at T10–L2,connective tissue,UBERON:0002384,Neuron; muscle fiber,connective tissue,UBERON:0002384,,does,X induction of Y,Visceral afferent activity,paraspinal tissue changes,,,Systemic,seconds,Segmental muscle tone and skin drag palpation,,,,,,,,,,,,viscerosomatic coupling,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Neuroendocrine regulation,fascia adherens,GO:0005916,Stress and cortisol,cortisol secretion,GO:0043400,Mediate stress response and collagen metabolism,collagen metabolic process,GO:0032963,,,,,,,,,,,,,,,,,"Psychological stress elevates cortisol levels, which inhibit collagen synthesis and increase sympathetic activity",Organ system,Connective tissues; neuroendocrine system,connective tissue,UBERON:0002384,Fibroblast; endocrine cell,connective tissue cell,CL:0002320,Psychological stress ,increases,X inhibition of Y,Cortisol,collagen synthesis,,circulatory,Systemic,days,Serum cortisol,,, stress questionnaires,,,,,,,,,cortisol–collagen interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Neuroendocrine regulation,fascia adherens,GO:0005916,Stress and cortisol,cortisol secretion,GO:0043400,Mediate stress response and collagen metabolism,collagen metabolic process,GO:0032963,,,,,,,,,,,,,,,,,"Psychological stress elevates cortisol levels, which inhibit collagen synthesis and increase sympathetic activity",Organ system,Connective tissues; neuroendocrine system,connective tissue,UBERON:0002384,Fibroblast; endocrine cell,connective tissue cell,CL:0002320,Psychological stress ,decreases,X indcution of Y,Cortisol,sympathetic activity,,Systemic,Systemic,days,Serum cortisol,,, stress questionnaires,,,,,,,,,cortisol–collagen interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
Dynamic Regulation of Fascial Tonicity and Structural Organization by Resident Cellular Mechanisms,connective tissue development,GO:0061448,Maintain and remodel ECM architecture and stiffness,specialized extracellular matrix,GO:0140047,,,,,,,,,,,,,,,,,,,,"Fibroblasts synthesize ECM components and ECM-degrading enzymes over months, continuously rebuilding fascial matrix",Cell,Fascial extracellular matrix,superficial fascia,UBERON:0011818,Fibroblast,fibroblast,CL:0000057,,does,X synthesis, ECM components and ECM-degrading enzymes ,,,,Tissue,months,Ultrasound elastography of fascia,,, palpatory stiffness assessment,,,,,,,,,fibroblast–ECM remodeling interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.2,,,,,,,,,
Dynamic Regulation of Fascial Tonicity and Structural Organization by Resident Cellular Mechanisms,connective tissue development,GO:0061448,Initiate local inflammatory response and increase perfusion,inflammatory response,GO:0006954,,,,,,,,,,,,,,,,,,,,"Mast cells degranulate, releasing histamine and heparin into ground substance, enhancing blood flow and immune defense",Cell,Fascial ground substance and microvasculature,superficial fascia,UBERON:0011818,Mast cell,mast cell,CL:0000097,,does,X release into Y,histamine and heparin,ECM ground substance,,,Tissue,seconds,Local temperature and erythema,,, capillary refill,Capillary refill [Time],44971-0, skin examination,,,,,,mast cell–microcirculation interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.2,,,,,,,,,
Dynamic Regulation of Fascial Tonicity and Structural Organization by Resident Cellular Mechanisms,connective tissue development,GO:0061448,Provide immune surveillance and coordinate tissue repair,cell migration,GO:0016477,,,,,,,,,,,,,,,,,,,,"Macrophages patrol fascial spaces, perform phagocytosis, and secrete TGF-β1 to influence repair",Cell,Fascial interstitium,superficial fascia,UBERON:0011818,Macrophage,alveolar macrophage,CL:0000583,,does,X performance,patrolling and phgocytosis,,,,Tissue,hours,Inflammatory markers (CRP),,, tissue histology when indicated,,,,,,,,,macrophage–repair signaling interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.2,,,,,,,,,
Dynamic Regulation of Fascial Tonicity and Structural Organization by Resident Cellular Mechanisms,connective tissue development,GO:0061448,Provide immune surveillance and coordinate tissue repair,cell migration,GO:0016477,,,,,,,,,,,,,,,,,,,,"Macrophages patrol fascial spaces, perform phagocytosis, and secrete TGF-β1 to influence repair",Cell,Fascial interstitium,superficial fascia,UBERON:0011818,Macrophage,alveolar macrophage,CL:0000583,,does,X secretion into Y,TGF-β1,fascial spaces,,,Tissue,hours,Inflammatory markers (CRP),,, tissue histology when indicated,,,,,,,,,macrophage–repair signaling interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.2,,,,,,,,,
Dynamic Regulation of Fascial Tonicity and Structural Organization by Resident Cellular Mechanisms,connective tissue development,GO:0061448,Coordinate fibroblast-to-myofibroblast transition after injury,fibroblast differentiation,GO:0072537 ,,,,,,,,,,,,,,,,,,,,"Fibroblasts generate deformation fields; macrophages sense matrix deformations and migrate to fibroblasts, secreting growth factors that induce myofibroblast differentiation",Cell,Injured fascial ECM,superficial fascia,UBERON:0011818,Fibroblast,collagen secreting cell,CL:0000667,,does,X generation,deformation fields,,,,Tissue,days,Immunohistochemistry for α-SMA,,, fibrosis and contracture grading,,,,,,,,,fibroblast–macrophage mechanotransduction interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.2,,,,,,,,,
