AS,AS_ID
basement membrane of epithelium | skin of body,UBERON:0005769
bulb of hair follicle,UBERON:0005932
hair follicle | hair inner root sheath,UBERON:0005941
hair follicle | hair outer root sheath,UBERON:0005942
hair follicle | hair follicle bulge | skin epidermis,UBERON:0005975
inferior oblique extraocular muscle | orbit of skull,UBERON:0006320
orbit of skull | superior oblique extraocular muscle,UBERON:0006321
interior rectus extraocular muscle | orbit of skull,UBERON:0006322
orbit of skull | superior rectus extraocular muscle,UBERON:0006323
laryngeal intrinsic muscle | larynx,UBERON:0006328
pharynx | superior pharyngeal constrictor,UBERON:0006329
kidney | kidney vasculature,UBERON:0006544
inferior pharyngeal constrictor | middle pharyngeal constrictor | pharynx | stylopharyngeus muscle | superior pharyngeal constrictor,UBERON:0006562
arterial system | superficial palmar arch,UBERON:0006564
clitoris | corpus cavernosum clitoridis,UBERON:0006608
arterial system | celiac trunk,UBERON:0006637
deep dorsal vein of penis | dorsal vein of penis,UBERON:0006656
clitoris | deep dorsal vein of clitoris,UBERON:0006690
jaw region | pterygoid muscle,UBERON:0006720
glandular epithelium | sebaceous gland,UBERON:0006799
skin of body | stratified squamous epithelium,UBERON:0006915
hair follicle | skin nerve field,UBERON:0007121
eccrine sweat gland | stratum compactum of dermis,UBERON:0007377
arterial system | baroreceptor | capillary | pulmonary capillary | vascular system | venous system,UBERON:0007798
trapezius muscle | upper back muscle,UBERON:0008243
common penile artery | deep artery of penis,UBERON:0008320
common penile artery | deep artery of penis,UBERON:0008321
clitoris | dorsal artery of clitoris,UBERON:0008323
mouth | zygomaticus major muscle,UBERON:0008593
pharynx | stylopharyngeus muscle,UBERON:0008804
epidermal-dermal junction | skin epidermis,UBERON:0008877
fascia | pain receptor cell | superficial fascia,UBERON:0008982
capillary of brain | vasculature of brain,UBERON:0008998
trachea non-cartilage connective tissue,UBERON:0009644
kidney | renal tubule,UBERON:0009773
ureter | ureter smooth muscle,UBERON:0009919
anterior part of tongue | taste bud,UBERON:0010032
posterior part of tongue | taste bud,UBERON:0010033
arterial system | gastroduodenal artery,UBERON:0010132
capillary | hepatic portal system | ileocolic vein | inferior mesenteric vein | intrahepatic branch of portal vein | left colic vein | middle colic vein | portal vein | right colic vein | sigmoid vein | splenic vein | superior mesenteric vein,UBERON:0010194
connective tissue cell | granulation tissue | skin of body,UBERON:0010211
bone tissue | cranial skeletal system | mandible,UBERON:0010323
lymph node | lymph node T cell domain,UBERON:0010417
middle pharyngeal constrictor | pharynx,UBERON:0010749
mouth | orbicularis oris muscle,UBERON:0010933
corpus spongiosum of penis | penis,UBERON:0011183
deep fascia,UBERON:0011236
male bulbospongiosus muscle | penis | perineal muscle,UBERON:0011388
pelvis nerve | pudendal nerve,UBERON:0011390
jaw region | masseter muscle | pterygoid muscle | temporalis muscle,UBERON:0011595
fascia | myofibroblast cell | superficial fascia,UBERON:0011818
loose connective tissue,UBERON:0011825
collection of collagen fibrils,UBERON:0011860
myofibroblast cell | perimysium,UBERON:0011900
pilosebaceous unit | sebaceous gland | skin of body,UBERON:0011932
infraspinatus tendon,UBERON:0012118
apocrine sweat gland | myoepithelium | skin apocrine gland,UBERON:0012177
male urethra | male urethral meatus,UBERON:0012241
ampulla of fallopian tube | blastula | morula,UBERON:0012648
arachnoid mater | arachnoid villus,UBERON:0013153
choroid plexus | left lateral ventricle,UBERON:0013161
choroid plexus | right lateral ventricle,UBERON:0013162
lung | lung endothelium,UBERON:0013479
superficial cervical fascia,UBERON:0013489
left gastric vein | portal venous system,UBERON:0014690
portal venous system | right gastric vein,UBERON:0014691
skeletal muscle tissue | vastus intermedius,UBERON:0014847
lymph node | periungual skin,UBERON:0014931
placenta | uterine spiral artery,UBERON:0015171
arterial system | proper hepatic artery,UBERON:0015480
arterial system | left hepatic artery,UBERON:0015481
arterial system | right hepatic artery,UBERON:0015482
arterial system | sagittal sinus | superior sagittal sinus,UBERON:0015704
ejaculatory duct | smooth muscle tissue layer of ejaculatory duct,UBERON:0015717
arterial system | lung | pulmonary capillary | vascular system,UBERON:0016405
hepatic portal system | intrahepatic branch of portal vein,UBERON:0016890
carotid body | chemoreceptor,UBERON:0018391
cardiac Purkinje fiber | cardiac muscle tissue of ventricle | heart,UBERON:0018649
autonomic nerve | hypogastric nerve,UBERON:0034728
hypogastric nerve | sympathetic nerve,UBERON:0034729
lumbosacral nerve plexus | nerve of clitoris | sacral nerve plexus,UBERON:0034986
dentition | nociceptor nerve ending | oropharynx,UBERON:0035017
arterial system | sigmoid artery,UBERON:0035180
skin of body | superficial lymphatic vessel,UBERON:0035198
postcapillary venule,UBERON:0035428
nerve of clitoris | sacral nerve plexus,UBERON:0035650
arterial system | right gastroepiploic artery,UBERON:0035829
arterial system | left gastroepiploic artery,UBERON:0035830
hair follicle | vellus hair,UBERON:0037462
hair follicle | telogen hair,UBERON:0037466
anagen hair | hair follicle,UBERON:0037467
hepatic portal system | sigmoid vein,UBERON:0039228
deep dorsal vein of penis | dorsal vein of penis,UBERON:0039422
sebaceous gland | tail base gland,UBERON:3010202
dorsal sympathetic chain,UBERON:3010770
fallopian tube | fimbriae of fallopian tube,UBERON:8410010
hepatic portal system | left colic vein,UBERON:8410017
hepatic portal system | right colic vein,UBERON:8410018
arterial system | left colic artery,UBERON:8410022
arterial system | right colic artery,UBERON:8410023
immune system | lymphoid nodule,UBERON:8410069
hair of scalp,UBERON:8420000
capillary of brain | vasculature of brain,UBERON:8480001
pulmonary venule | venous system,UBERON:8600024
arterial system | pulmonary arteriole,UBERON:8600077
arterial system | right gastric artery,UBERON:8920045
left gastroepiploic vein | portal venous system,UBERON:8920047
portal venous system | right gastroepiploic vein,UBERON:8920048
