AS,AS_ID
left colic vein,UBERON:8410017
left common carotid artery plus branches,UBERON:0001536
left gastric artery,UBERON:0001192
left gastric vein,UBERON:0014690
left gastroepiploic artery,UBERON:0035830
left gastroepiploic vein,UBERON:8920047
left hepatic artery,UBERON:0015481
left renal artery,UBERON:0001186
left renal vein,UBERON:0001142
left subclavian artery,UBERON:0001584
levator palpebrae superioris,UBERON:0001604
loose connective tissue,UBERON:0011825
luminal cell of prostate epithelium,CL:0002340
lung connective tissue,UBERON:0000114
lung elastic tissue,UBERON:0003615
lung endothelium,UBERON:0013479
lymph node,UBERON:0000029
lymph node T cell domain,UBERON:0010417
lymphoid nodule,UBERON:8410069
lymphoid tissue,UBERON:0001744
major vestibular gland,UBERON:0000460
male bulbospongiosus muscle,UBERON:0011388
male urethral meatus,UBERON:0012241
mammary gland,UBERON:0001911
mammary gland connective tissue,UBERON:0003584
mammary gland smooth muscle,UBERON:0004235
mandible,UBERON:0001684
masseter muscle,UBERON:0001597
medial rectus extraocular muscle,UBERON:0001602
mesenchymal stem cell of apical papilla,CL:4040005
midbrain cerebral aqueduct,UBERON:0002289
middle colic artery,UBERON:0001196
middle colic vein,UBERON:0001218
middle pharyngeal constrictor,UBERON:0010749
morula,UBERON:0000085
mucosa,UBERON:0000344
mucosa-associated lymphoid tissue,UBERON:0001961
mucous cell of stomach,CL:0002180
muscular coat of vas deferens,UBERON:0004224
myoepithelium,UBERON:0000420
myofibroblast cell,CL:0000186
myometrium,UBERON:0001296
nerve of clitoris,UBERON:0035650
nociceptor nerve ending,UBERON:0035017
orbicularis oculi muscle,UBERON:0001578
orbicularis oris muscle,UBERON:0010933
ovarian follicle,UBERON:0001305
oviduct epithelium,UBERON:0004804
pain receptor cell,CL:0000198
papillary layer of dermis,UBERON:0001992
parasympathetic nerve,UBERON:0004293
parietal cell,CL:0000162
parotid gland,UBERON:0001831
perineal artery,UBERON:0001358
perineal muscle,UBERON:0002379
perineal vein,UBERON:0001362
peritubular capillary,UBERON:0005272
pilosebaceous unit,UBERON:0011932
pineal body,UBERON:0001905
popliteal artery,UBERON:0002250
popliteal vein,UBERON:0001544
portal vein,UBERON:0002017
postcapillary venule,UBERON:0035428
posterior tibial artery,UBERON:0001538
posterior tibial vein,UBERON:0001546
proper hepatic artery,UBERON:0015480
proximal convoluted tubule,UBERON:0001287
pterygoid muscle,UBERON:0006720
pudendal nerve,UBERON:0011390
pulmonary alveolus epithelium,UBERON:0004821
pulmonary arteriole,UBERON:8600077
pulmonary artery,UBERON:0002012
pulmonary capillary,UBERON:0016405
pulmonary vein,UBERON:0002016
pulmonary venule,UBERON:8600024
radial artery,UBERON:0001404
rectus femoris,UBERON:0001378
renal afferent arteriole,UBERON:0004639
renal efferent arteriole,UBERON:0004640
renal glomerulus,UBERON:0000074
renal glomerulus vasculature,UBERON:0004190
renal interlobular vein,UBERON:0005168
renal lymph node,UBERON:0003425
renal tubule,UBERON:0009773
respiratory airway,UBERON:0001005
right colic artery,UBERON:8410023
right colic vein,UBERON:8410018
right common carotid artery plus branches,UBERON:0001531
right gastric artery,UBERON:8920045
right gastric vein,UBERON:0014691
right gastroepiploic artery,UBERON:0035829
right gastroepiploic vein,UBERON:8920048
right hepatic artery,UBERON:0015482
right renal artery,UBERON:0001185
right renal vein,UBERON:0001141
right subclavian artery,UBERON:0001534
sacral nerve plexus,UBERON:0034986
sagittal sinus,UBERON:0015704
saliva-secreting gland,UBERON:0001044
sartorius muscle,UBERON:0001374
sebaceous gland,UBERON:0001821
sebum,UBERON:0001866
semimembranosus muscle,UBERON:0001381
seminal vesicle,UBERON:0000998
seminiferous tubule of testis,UBERON:0001343
semitendinosus,UBERON:0001375
sigmoid artery,UBERON:0035180
sigmoid vein,UBERON:0039228
sinoatrial node,UBERON:0002351
skeletal muscle tissue,UBERON:0001134
skin epidermis,UBERON:0001003
skin nerve field,UBERON:0007121
smooth muscle cell,CL:0000192
smooth muscle tissue layer of ejaculatory duct,UBERON:0015717
sphincter pupillae,UBERON:0001607
splenic artery,UBERON:0001194
splenic vein,UBERON:0003713
stem cell,CL:0000034
sternocleidomastoid,UBERON:0001128
stratified squamous epithelium,UBERON:0006915
stratum compactum of dermis,UBERON:0007377
styloglossus,UBERON:0001573
stylopharyngeus muscle,UBERON:0008804
subclavian vein,UBERON:0001587
sublingual gland,UBERON:0001832
submandibular gland,UBERON:0001736
superficial cervical fascia,UBERON:0013489
superficial fascia,UBERON:0011818
superficial lymphatic vessel,UBERON:0035198
superficial palmar arch,UBERON:0006564
superior mesenteric artery,UBERON:0001182
superior mesenteric vein,UBERON:0001138
superior oblique extraocular muscle,UBERON:0006321
superior pharyngeal constrictor,UBERON:0006329
superior rectus extraocular muscle,UBERON:0006323
superior sagittal sinus,UBERON:0001642
sweat gland,UBERON:0001820
sympathetic nerve,UBERON:0034729
sympathetic trunk,UBERON:0000407
tail base gland,UBERON:3010202
taste bud,UBERON:0001727
telogen hair,UBERON:0037466
temporalis muscle,UBERON:0001598
thoracic nerve,UBERON:0003726
thoracic sympathetic nerve trunk,UBERON:0004863
trachea,UBERON:0003126
trachea non-cartilage connective tissue,UBERON:0009644
trapezius muscle,UBERON:0002380
trophoblast,UBERON:0000088
ulnar artery,UBERON:0001406
ureter smooth muscle,UBERON:0009919
urinary bladder,UBERON:0001255
uterine cervix,UBERON:0000002
uterine spiral artery,UBERON:0015171
vagus nerve,UBERON:0001759
vastus intermedius,UBERON:0014847
vastus lateralis,UBERON:0001379
vastus medialis,UBERON:0001380
vellus hair,UBERON:0037462
venous system,UBERON:0004582
zona fasciculata of adrenal gland,UBERON:0002054
zona glomerulosa of adrenal gland,UBERON:0002053
zona reticularis of adrenal gland,UBERON:0002055
zygomaticus major muscle,UBERON:0008593
