organ,id,cf_asctb_type,label
allen_brain,UBERON:0024151,AS,tegmentum of the medulla
allen_brain,UBERON:0001717,AS,spinal trigeminal nucleus
allen_brain,UBERON:0002127,AS,inferior olive
allen_brain,UBERON:0019258,AS,white matter of hindbrain
allen_brain,UBERON:0002707,AS,pyramidal tract
allen_brain,UBERON:0002150,AS,superior cerebellar peduncle
allen_brain,UBERON:0002152,AS,middle cerebellar peduncle
allen_brain,UBERON:0002163,AS,inferior cerebellar peduncle
allen_brain,UBERON:0004086,AS,ventricles of hindbrain
allen_brain,UBERON:0002422,AS,fourth ventricle
allen_brain,UBERON:0002291,AS,central canal of medulla oblongata
allen_brain,UBERON:0002761,AS,inferior frontal sulcus
allen_brain,ASCTB-TEMP:ifs1,AS,ifs1
allen_brain,ASCTB-TEMP:ifs2,AS,ifs2
allen_brain,ASCTB-TEMP:ifs3,AS,ifs3
allen_brain,ASCTB-TEMP:ifs4,AS,ifs4
allen_brain,ASCTB-TEMP:inferior-frontal-junction,AS,inferior frontal junction
allen_brain,ASCTB-TEMP:ifj1,AS,ifj1
allen_brain,ASCTB-TEMP:ifj2,AS,ifj2
allen_brain,CL:0000236,CT,B cell
allen_brain,HGNC:7315,B (gene),MS4A1
allen_brain,CL:0000084,CT,T cell
allen_brain,HGNC:1639,B (gene),CD2
allen_brain,HGNC:21569,B (gene),THEMIS
allen_brain,CL:0000623,CT,NK cell
allen_brain,HGNC:4414,B (gene),GNLY
allen_brain,HGNC:7830,B (gene),NKG7
allen_brain,CL:0000576,CT,monocyte
allen_brain,HGNC:3623,B (gene),FCN1
allen_brain,CL:0000129,CT,microglia
allen_brain,PCL:0051005,CT,Mgl_4
allen_brain,HGNC:54284,B (gene),HIF1A-AS3
allen_brain,HGNC:9361,B (gene),SRGN
allen_brain,PCL:0051006,CT,Mgl_5
allen_brain,HGNC:17379,B (gene),APBB1IP
allen_brain,HGNC:12405,B (gene),TTR
allen_brain,PCL:0051007,CT,Mgl_6
allen_brain,HGNC:6152,B (gene),ITGAX
allen_brain,HGNC:21695,B (gene),SCIN
allen_brain,HGNC:38712,B (gene),LINC00278
allen_brain,PCL:0051008,CT,Mgl_7
allen_brain,HGNC:8133,B (gene),OLR1
allen_brain,HGNC:2558,B (gene),CX3CR1
allen_brain,HGNC:54229,B (gene),LINC02712
allen_brain,PCL:0051009,CT,Mgl_8
allen_brain,HGNC:28416,B (gene),CCDC26
allen_brain,HGNC:50913,B (gene),LNCAROD
allen_brain,PCL:0051010,CT,Mgl_9
allen_brain,HGNC:352,B (gene),AIF1
allen_brain,PCL:0051011,CT,Mgl_10
allen_brain,HGNC:18124,B (gene),P2RY12
allen_brain,HGNC:19191,B (gene),DOCK8
allen_brain,PCL:0051012,CT,Mgl_11
allen_brain,HGNC:54124,B (gene),LINC02642
allen_brain,PCL:0051013,CT,Mgl_12
allen_brain,HGNC:7228,B (gene),MRC1
allen_brain,HGNC:3531,B (gene),F13A1
allen_brain,CL:4023072,CT,brain vascular cell
allen_brain,PCL:0051014,CT,VendPLVAP_13
allen_brain,HGNC:13635,B (gene),PLVAP
allen_brain,PCL:0051015,CT,VendAC_14
allen_brain,HGNC:30400,B (gene),SEMA3G
allen_brain,HGNC:4871,B (gene),HERC2P3
allen_brain,PCL:0051016,CT,VendC_15
allen_brain,HGNC:19194,B (gene),HMCN1
allen_brain,HGNC:74,B (gene),ABCG2
allen_brain,HGNC:3498,B (gene),MECOM
allen_brain,PCL:0051017,CT,VendVC_16
allen_brain,HGNC:17995,B (gene),TRPM6
allen_brain,PCL:0051018,CT,VendV_17
allen_brain,HGNC:5993,B (gene),IL1R1
allen_brain,PCL:0051019,CT,VendA_18
allen_brain,HGNC:7060,B (gene),MGP
allen_brain,PCL:0051020,CT,Vsmc_19
allen_brain,HGNC:130,B (gene),ACTA2
allen_brain,PCL:0051021,CT,Vsmc_20
allen_brain,HGNC:11553,B (gene),TAGLN
allen_brain,PCL:0051022,CT,Per_21
allen_brain,HGNC:29836,B (gene),NDUFA4L2
allen_brain,HGNC:26213,B (gene),RERGL
allen_brain,PCL:0051023,CT,Per_22
allen_brain,HGNC:42872,B (gene),CARMN
allen_brain,HGNC:10937,B (gene),SLC19A1
allen_brain,PCL:0051024,CT,Per_23
allen_brain,HGNC:14872,B (gene),ASPN
allen_brain,HGNC:11045,B (gene),SLC6A12
allen_brain,HGNC:11046,B (gene),SLC6A13
allen_brain,CL:0000057,CT,fibroblast
allen_brain,PCL:0051025,CT,Fbl_24
allen_brain,HGNC:1346,B (gene),C7
allen_brain,HGNC:1072,B (gene),BMP5
allen_brain,PCL:0051026,CT,Fbl_25
allen_brain,HGNC:6715,B (gene),LTBP2
allen_brain,HGNC:11595,B (gene),TBX18
allen_brain,PCL:0051027,CT,Fbl_26
allen_brain,HGNC:30927,B (gene),SLC6A20
allen_brain,HGNC:2192,B (gene),COL15A1
allen_brain,PCL:0051028,CT,Fbl_27
allen_brain,HGNC:3770,B (gene),FMO2
allen_brain,HGNC:53007,B (gene),LINC02147
allen_brain,HGNC:38,B (gene),ABCA8
allen_brain,PCL:0051029,CT,Fbl_28
allen_brain,HGNC:3601,B (gene),FBLN2
allen_brain,HGNC:2198,B (gene),COL1A2
allen_brain,PCL:0051030,CT,Fbl_29
allen_brain,HGNC:11005,B (gene),SLC2A1
allen_brain,HGNC:19090,B (gene),EBF2
allen_brain,HGNC:1077,B (gene),BMPR1B
allen_brain,PCL:0051031,CT,Fbl_30
allen_brain,HGNC:11040,B (gene),SLC5A5
allen_brain,ASCTB-TEMP:rp11-354k4-2,B (gene),RP11-354K4.2
allen_brain,PCL:0051032,CT,Fbl_31
allen_brain,HGNC:9591,B (gene),PTGDR
allen_brain,HGNC:30988,B (gene),BNC2
allen_brain,CL:0002453,CT,oligodendrocyte precursor cell
allen_brain,PCL:0051033,CT,OPC_32
allen_brain,HGNC:26287,B (gene),MROH9
allen_brain,ASCTB-TEMP:rp1-45c12-1,B (gene),RP1-45C12.1
allen_brain,PCL:0051034,CT,OPC_33
allen_brain,HGNC:16983,B (gene),OLIG1
allen_brain,HGNC:612,B (gene),APOD
allen_brain,PCL:0051035,CT,OPC_34
allen_brain,ASCTB-TEMP:rp4-668e10-4,B (gene),RP4-668E10.4
allen_brain,ASCTB-TEMP:rp11-197h3-1,B (gene),RP11-197H3.1
allen_brain,PCL:0051036,CT,OPC_35
allen_brain,HGNC:52001,B (gene),MIR3681HG
allen_brain,PCL:0051037,CT,OPC_36
allen_brain,HGNC:51662,B (gene),LINC01608
allen_brain,CL:4023059,CT,committed oligodendrocyte precursor cell
allen_brain,PCL:0051038,CT,COP_37
allen_brain,HGNC:4471,B (gene),GPR17
allen_brain,HGNC:974,B (gene),BCAS1
allen_brain,HGNC:9142,B (gene),PRRX1
allen_brain,PCL:0051039,CT,COP_38
allen_brain,ASCTB-TEMP:rp11-89n17-4,B (gene),RP11-89N17.4
allen_brain,PCL:0051040,CT,COP_39
allen_brain,HGNC:11740,B (gene),TF
allen_brain,ASCTB-TEMP:ctd-2545m3-8,B (gene),CTD-2545M3.8
allen_brain,CL:0000128,CT,oligodendrocyte
allen_brain,PCL:0051041,CT,Oligo_40
allen_brain,HGNC:20707,B (gene),OPALIN
allen_brain,HGNC:9086,B (gene),PLP1
allen_brain,HGNC:3432,B (gene),ERBB4
allen_brain,PCL:0051042,CT,COP_41
allen_brain,ASCTB-TEMP:ac084149-2,B (gene),AC084149.2
allen_brain,ASCTB-TEMP:thalamus,AS,thalamus
allen_brain,PCL:0051043,CT,COP_42
allen_brain,HGNC:20675,B (gene),CNDP1
allen_brain,HGNC:23319,B (gene),NTNG1
allen_brain,PCL:0051044,CT,COP_43
allen_brain,HGNC:23091,B (gene),SLC5A11
allen_brain,HGNC:7189,B (gene),MOBP
allen_brain,PCL:0051045,CT,Oligo_44
allen_brain,HGNC:14082,B (gene),ANLN
allen_brain,HGNC:29268,B (gene),CARNS1
allen_brain,PCL:0051046,CT,Oligo_45
allen_brain,HGNC:23723,B (gene),CERCAM
allen_brain,PCL:0051047,CT,Oligo_46
allen_brain,HGNC:10044,B (gene),RNASE1
allen_brain,PCL:0051048,CT,Oligo_47
allen_brain,PCL:0051049,CT,Oligo_48
allen_brain,ASCTB-TEMP:rp11-38b6-1,B (gene),RP11-38B6.1
allen_brain,PCL:0051050,CT,Oligo_49
allen_brain,HGNC:2389,B (gene),CRYAB
allen_brain,PCL:0051051,CT,Oligo_50
allen_brain,HGNC:43959,B (gene),PTCSC3
allen_brain,CL:0000644,CT,Bergmann glial cell
allen_brain,PCL:0051052,CT,Bgl_51
allen_brain,HGNC:52515,B (gene),LINC01727
allen_brain,HGNC:6482,B (gene),LAMA2
allen_brain,CL:0002605,CT,astrocyte of the cerebral cortex
allen_brain,PCL:0051053,CT,Astro_52
allen_brain,HGNC:14864,B (gene),COL5A3
allen_brain,CL:0002604,CT,hippocampal astrocyte
allen_brain,PCL:0051054,CT,Astro_53
allen_brain,HGNC:4319,B (gene),GLI3
allen_brain,CL:0012000,CT,astrocyte of the forebrain
allen_brain,PCL:0051055,CT,Astro_54
allen_brain,HGNC:27725,B (gene),F11-AS1
allen_brain,HGNC:14404,B (gene),ETNPPL
allen_brain,HGNC:42700,B (gene),OBI1-AS1
allen_brain,PCL:0051056,CT,Astro_55
allen_brain,HGNC:3690,B (gene),FGFR3
allen_brain,HGNC:18374,B (gene),HPSE2
allen_brain,HGNC:18081,B (gene),WIF1
allen_brain,CL:0000127,CT,astrocyte
allen_brain,PCL:0051057,CT,Astro_56
allen_brain,HGNC:5318,B (gene),TNC
allen_brain,HGNC:4453,B (gene),GPC5
allen_brain,PCL:0051058,CT,Astro_57
allen_brain,HGNC:43960,B (gene),LINC00609
allen_brain,ASCTB-TEMP:rp11-134o15-3,B (gene),RP11-134O15.3
allen_brain,PCL:0051059,CT,Astro_58
allen_brain,HGNC:5362,B (gene),ID3
allen_brain,HGNC:43436,B (gene),LINC00499
allen_brain,PCL:0051060,CT,Astro_59
allen_brain,HGNC:19719,B (gene),LGR6
allen_brain,HGNC:27363,B (gene),ITPRID1
allen_brain,PCL:0051061,CT,Astro_60
allen_brain,HGNC:3180,B (gene),EDNRB
allen_brain,HGNC:613,B (gene),APOE
allen_brain,PCL:0051062,CT,Astro_61
allen_brain,HGNC:633,B (gene),AQP1
allen_brain,HGNC:4235,B (gene),GFAP
allen_brain,ASCTB-TEMP:rp11-259k15-2,B (gene),RP11-259K15.2
allen_brain,PCL:0051063,CT,Astro_62
allen_brain,HGNC:44915,B (gene),LINC00836
allen_brain,PCL:0051064,CT,Astro_63
allen_brain,PCL:0051065,CT,Astro_64
allen_brain,ASCTB-TEMP:rp11-297i23-1,B (gene),RP11-297I23.1
allen_brain,ASCTB-TEMP:rp11-517i3-1,B (gene),RP11-517I3.1
allen_brain,CL:0000065,CT,ependymal cell
allen_brain,PCL:0051066,CT,Epen_65
allen_brain,HGNC:37261,B (gene),DTHD1
allen_brain,PCL:0051067,CT,Epen_66
allen_brain,HGNC:8038,B (gene),NTS
allen_brain,ASCTB-TEMP:ac018717-1,B (gene),AC018717.1
allen_brain,PCL:0051068,CT,Epen_67
allen_brain,HGNC:18651,B (gene),ADGRD2
allen_brain,PCL:0051069,CT,Epen_68
allen_brain,HGNC:2360,B (gene),CRIP1
allen_brain,HGNC:1487,B (gene),CAPS
allen_brain,HGNC:8239,B (gene),OR2B4P
allen_brain,PCL:0051070,CT,Epen_69
allen_brain,ASCTB-TEMP:rp11-624a4-2,B (gene),RP11-624A4.2
allen_brain,PCL:0051071,CT,Epen_70
allen_brain,HGNC:12261,B (gene),TRDN
allen_brain,HGNC:27287,B (gene),GRAMD2A
allen_brain,PCL:0051072,CT,Epen_71
allen_brain,HGNC:28395,B (gene),SGMS2
allen_brain,PCL:0051073,CT,Epen_72
allen_brain,ASCTB-TEMP:mgc4859,B (gene),MGC4859
allen_brain,PCL:0051074,CT,Epen_73
allen_brain,ASCTB-TEMP:ac007682-1,B (gene),AC007682.1
allen_brain,PCL:0051075,CT,Epen_74
allen_brain,PCL:0051076,CT,COP_75
allen_brain,HGNC:3791,B (gene),FOLR1
allen_brain,HGNC:14344,B (gene),C1QTNF5
allen_brain,CL:0000706,CT,choroid plexus cell
allen_brain,PCL:0051077,CT,Chrp_76
allen_brain,HGNC:43906,B (gene),OTX2-AS1
allen_brain,HGNC:18695,B (gene),ST18
allen_brain,ASCTB-TEMP:rp11-690j15-1,B (gene),RP11-690J15.1
allen_brain,PCL:0051078,CT,Chrp_77
allen_brain,HGNC:8824,B (gene),SERPINF1
allen_brain,PCL:0051079,CT,Chrp_78
allen_brain,HGNC:9211,B (gene),POU2AF1
allen_brain,HGNC:356,B (gene),CRYBG1
allen_brain,ASCTB-TEMP:rp11-729m20-1,B (gene),RP11-729M20.1
allen_brain,PCL:0051080,CT,Chrp_79
allen_brain,HGNC:18083,B (gene),TRPV4
allen_brain,HGNC:34,B (gene),ABCA4
allen_brain,PCL:0051081,CT,Chrp_80
allen_brain,HGNC:5196,B (gene),HS3ST3A1
allen_brain,PCL:0051082,CT,Chrp_81
allen_brain,HGNC:5147,B (gene),HPD
allen_brain,PCL:0051083,CT,Chrp_82
allen_brain,HGNC:4462,B (gene),GPNMB
allen_brain,CL:4023012,CT,near-projecting glutamatergic cortical neuron
allen_brain,PCL:0051084,CT,DLNP_83
allen_brain,ASCTB-TEMP:rp11-34c15-2,B (gene),RP11-34C15.2
allen_brain,CL:0000679,CT,glutamatergic neuron
allen_brain,PCL:0051085,CT,DLCT6b_84
allen_brain,HGNC:31401,B (gene),SLC9C1
allen_brain,HGNC:16953,B (gene),POSTN
allen_brain,HGNC:22128,B (gene),NPSR1-AS1
allen_brain,PCL:0051086,CT,DLNP_85
allen_brain,HGNC:11528,B (gene),TACR3
allen_brain,HGNC:41081,B (gene),SGO1-AS1
allen_brain,HGNC:26534,B (gene),FER1L6-AS2
allen_brain,PCL:0051087,CT,DLNP_86
allen_brain,HGNC:43910,B (gene),IFNG-AS1
allen_brain,HGNC:9229,B (gene),PLPP3
allen_brain,HGNC:277,B (gene),ADRA1A
allen_brain,HGNC:9682,B (gene),PTPRT
allen_brain,PCL:0051088,CT,DLNP_87
allen_brain,HGNC:23631,B (gene),NPSR1
allen_brain,HGNC:2217,B (gene),COL9A1
allen_brain,ASCTB-TEMP:rp11-421n8-3,B (gene),RP11-421N8.3
allen_brain,PCL:0051089,CT,DLNP_88
allen_brain,HGNC:1663,B (gene),CD36
allen_brain,PCL:0051090,CT,DLNP_89
allen_brain,ASCTB-TEMP:ae000661-37,B (gene),AE000661.37
allen_brain,ASCTB-TEMP:rp11-66g15-1,B (gene),RP11-66G15.1
allen_brain,PCL:0051091,CT,DLNP_90
allen_brain,ASCTB-TEMP:ctb-57h20-1,B (gene),CTB-57H20.1
allen_brain,PCL:0051092,CT,DLNP_91
allen_brain,HGNC:24665,B (gene),CD200R1L
allen_brain,HGNC:16379,B (gene),TRIM22
allen_brain,ASCTB-TEMP:ctc-535m15-2,B (gene),CTC-535M15.2
allen_brain,ASCTB-TEMP:ctc-340a15-2,B (gene),CTC-340A15.2
allen_brain,PCL:0051093,CT,DLNP_92
allen_brain,HGNC:3969,B (gene),FSHR
allen_brain,ASCTB-TEMP:rp11-286o1-1,B (gene),RP11-286O1.1
allen_brain,PCL:0051094,CT,DLNP_93
allen_brain,HGNC:10256,B (gene),ROR1
allen_brain,HGNC:8076,B (gene),NXPH2
allen_brain,PCL:0051095,CT,DLNP_94
allen_brain,HGNC:13433,B (gene),ROBO3
allen_brain,ASCTB-TEMP:rp11-511b7-2,B (gene),RP11-511B7.2
allen_brain,PCL:0051096,CT,DLNP_95
allen_brain,HGNC:16067,B (gene),MYOCD
allen_brain,ASCTB-TEMP:rp11-354i13-2,B (gene),RP11-354I13.2
allen_brain,PCL:0051097,CT,DLNP_96
allen_brain,HGNC:5009,B (gene),HMGA2
allen_brain,HGNC:52844,B (gene),LINC02008
allen_brain,PCL:0051098,CT,DLCT6b_97
allen_brain,HGNC:4680,B (gene),GUCA1C
allen_brain,ASCTB-TEMP:rp11-238k6-2,B (gene),RP11-238K6.2
allen_brain,PCL:0051099,CT,DLCT6b_98
allen_brain,HGNC:14265,B (gene),CDH24
allen_brain,HGNC:5977,B (gene),IL15
allen_brain,HGNC:3446,B (gene),ERG
allen_brain,PCL:0051100,CT,DLCT6b_99
allen_brain,HGNC:3009,B (gene),DPP4
allen_brain,ASCTB-TEMP:rp11-467l24-1,B (gene),RP11-467L24.1
allen_brain,ASCTB-TEMP:fam160a1,B (gene),FAM160A1
allen_brain,PCL:0051101,CT,DLCT6b_100
allen_brain,HGNC:20391,B (gene),SULF1
allen_brain,HGNC:53103,B (gene),LINC02232
allen_brain,HGNC:19718,B (gene),RXFP1
allen_brain,HGNC:10736,B (gene),SEMA5A
allen_brain,PCL:0051102,CT,DLCT6b_101
allen_brain,HGNC:40401,B (gene),NFIA-AS2
allen_brain,ASCTB-TEMP:rp11-120l14-1,B (gene),RP11-120L14.1
allen_brain,PCL:0051103,CT,DLCT6b_102
allen_brain,HGNC:52626,B (gene),LINC01821
allen_brain,HGNC:14632,B (gene),ADAMTSL1
allen_brain,ASCTB-TEMP:ac064875-2,B (gene),AC064875.2
allen_brain,PCL:0051104,CT,DLCT6b_103
allen_brain,HGNC:2500,B (gene),CCN2
allen_brain,HGNC:9035,B (gene),PLA2G4A
allen_brain,PCL:0051105,CT,DLCT6b_104
allen_brain,PCL:0051106,CT,DLCT6b_105
allen_brain,HGNC:52467,B (gene),LINC01680
allen_brain,ASCTB-TEMP:rp4-736h5-3,B (gene),RP4-736H5.3
allen_brain,PCL:0051107,CT,DLCT6b_106
allen_brain,HGNC:3179,B (gene),EDNRA
