Effector/LABEL,Effector/ID(s),Files,Count_files
olfactory nerve,UBERON:0001579,Dental_and_Craniofacial_System;Nervous_System,2
olfactory receptor cell,CL:0000207,Dental_and_Craniofacial_System;Nervous_System,2
orbicularis oculi muscle,UBERON:0001578,Dental_and_Craniofacial_System;Nervous_System,2
orbicularis oris muscle,UBERON:0010933,Dental_and_Craniofacial_System;Nervous_System,2
parietal cell,CL:0000162,Digestive_System;Endocrine_System,2
parotid gland,UBERON:0001831,Dental_and_Craniofacial_System;Nervous_System,2
pharyngeal nerve plexus,UBERON:0011325,Dental_and_Craniofacial_System;Nervous_System,2
photoreceptor cell,CL:0000210,Dental_and_Craniofacial_System;Nervous_System,2
proximal convoluted tubule,UBERON:0001287,Dental_and_Craniofacial_System;Skeletal_System,2
pterygoid muscle,UBERON:0006720,Dental_and_Craniofacial_System;Nervous_System,2
pulmonary alveolar type 2 cell,CL:0002063,Immune_and_Lymphatic_System;Pulmonary_System,2
pulmonary arteriole,UBERON:8600077,Cardiovascular_System;Pulmonary_System,2
pulmonary capillary,UBERON:0016405,Cardiovascular_System;Pulmonary_System,2
pulmonary capillary endothelial cell,CL:4028001,Cardiovascular_System;Endocrine_System,2
regular atrial cardiac myocyte,CL:0002129,Cardiovascular_System;Endocrine_System,2
regular ventricular cardiac myocyte,CL:0002131,Cardiovascular_System;Endocrine_System,2
renal glomerulus,UBERON:0000074,Cardiovascular_System;Urinary_System,2
sacral nerve plexus,UBERON:0034986,Female_Reproductive_System;Male_Reproductive_System,2
secretory cell,CL:0000151,Digestive_System;Integumentary_System,2
sensory neuron,CL:0000101,Integumentary_System;Nervous_System,2
sinoatrial node,UBERON:0002351,Cardiovascular_System;Nervous_System,2
sphincter pupillae,UBERON:0001607,Dental_and_Craniofacial_System;Nervous_System,2
spinal cord,UBERON:0002240,Integumentary_System;Pulmonary_System,2
spinous cell of epidermis,CL:0000649,Immune_and_Lymphatic_System;Integumentary_System,2
stem cell,CL:0000034,Digestive_System;Integumentary_System,2
styloglossus,UBERON:0001573,Dental_and_Craniofacial_System;Nervous_System,2
stylopharyngeus muscle,UBERON:0008804,Dental_and_Craniofacial_System;Nervous_System,2
sublingual gland,UBERON:0001832,Dental_and_Craniofacial_System;Nervous_System,2
submandibular gland,UBERON:0001736,Dental_and_Craniofacial_System;Nervous_System,2
superior oblique extraocular muscle,UBERON:0006321,Dental_and_Craniofacial_System;Nervous_System,2
superior pharyngeal constrictor,UBERON:0006329,Dental_and_Craniofacial_System;Nervous_System,2
superior rectus extraocular muscle,UBERON:0006323,Dental_and_Craniofacial_System;Nervous_System,2
sympathetic neuron,CL:0011103,Fascia_System;Immune_and_Lymphatic_System,2
taste bud,UBERON:0001727,Dental_and_Craniofacial_System;Nervous_System,2
temporalis muscle,UBERON:0001598,Dental_and_Craniofacial_System;Nervous_System,2
temporomandibular joint,UBERON:0003700,Dental_and_Craniofacial_System;Nervous_System,2
trigeminal nerve,UBERON:0001645,Dental_and_Craniofacial_System;Nervous_System,2
trochlear nerve,UBERON:0001644,Dental_and_Craniofacial_System;Nervous_System,2
type L enteroendocrine cell,CL:0002279,Digestive_System;Endocrine_System,2
vagal neural crest cell,CL:0011017,Digestive_System;Pulmonary_System,2
vagus nerve,UBERON:0001759,Cardiovascular_System;Nervous_System,2
venous system,UBERON:0004582,Cardiovascular_System;Nervous_System,2
vestibular hair cell,CL:0000609,Dental_and_Craniofacial_System;Nervous_System,2
vestibulocochlear nerve,UBERON:0001648,Dental_and_Craniofacial_System;Nervous_System,2
zygomaticus major muscle,UBERON:0008593,Dental_and_Craniofacial_System;Nervous_System,2
