"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,,"REQUIRED IF AVAILABLE. For each row, enter any corresponding common data elements (CDEs) that relate to the process.  Add more sets of CDE columns if needed, making sure to include the ID column.",,,,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,inspiratory muscle contraction,muscle contraction,GO:0006936,,,,,,,,,,,,,"GRAMMAR NOTE: brainstem rhythm generation is represented as a signal on respiratory muscle, not as a behavior of pre-Botzinger neurons, for the same reason interstitial cells of Cajal have no row in the digestive table","Diaphragmatic contraction enlarges the thorax and lowers intrapleural pressure, drawing air in",cell,diaphragm,diaphragm,UBERON:0001103,skeletal muscle fiber,,,,,,does,contraction,,,,,,,,,,"[400, 600]","units = mL tidal volume; diaphragm generates 70-80% of it; descent 1-2 cm in quiet breathing, up to 10 cm in forced",seconds,,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,,,,brainstem respiratory centres,,,phrenic and intercostal motor output,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,inspiratory muscle contraction,muscle contraction,GO:0006936,,,,,,,,,,,,,,,cell,diaphragm,diaphragm,UBERON:0001103,skeletal muscle fiber,,,phrenic nerve activity,,,increases,contraction X,frequency,,,,,,,,,"[12, 16]",units = breaths/min at rest; phrenic roots C3-C5,seconds,systemic,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,,,,brainstem respiratory centres,,,phrenic and intercostal motor output,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,inspiratory muscle contraction,muscle contraction,GO:0006936,,,,,,,,,,,,,,,cell,diaphragm,diaphragm,UBERON:0001103,skeletal muscle fiber,,,phrenic nerve activity,,,increases,contraction X,force,,,,,,,,,,intrapleural pressure falls from about -5 to -8 cmH2O during quiet inspiration,seconds,systemic,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,,,,brainstem respiratory centres,,,phrenic and intercostal motor output,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,inspiratory muscle contraction,muscle contraction,GO:0006936,,,,,,,,,,,,,,External intercostal contraction adds to thoracic expansion during inspiration,cell,thoracic cavity,thoracic cavity,UBERON:0002224,external intercostal muscle cell,,,,,,does,contraction,,,,,,,,,,,"raises the ribs, increasing anteroposterior and lateral thoracic diameter",seconds,,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,,,,brainstem respiratory centres,,,phrenic and intercostal motor output,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,inspiratory muscle contraction,muscle contraction,GO:0006936,,,,,,,,,,,,,,,cell,thoracic cavity,thoracic cavity,UBERON:0002224,accessory respiratory muscle cell,,,ventilatory demand,,,increases,contraction X,force,,,,,,,,,,scalene and sternocleidomastoid recruitment; visible use is a clinical sign of respiratory distress,seconds,systemic,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,,,,brainstem respiratory centres,,,phrenic and intercostal motor output,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,expiration,,,,,,,,,,,,,,,"elastic recoil has two sources: tissue elastin and collagen, and alveolar surface tension, the larger of the two",Passive elastic recoil of the lung drives quiet expiration,organ,lung,lung,UBERON:0002048,lung,,,,,,does,X export,alveolar gas,,,,,,,,,,"quiet expiration is passive, driven by stored elastic recoil; lung compliance about 200 mL/cmH2O",seconds,,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,airway resistance,Airway resistance,LOINC:75946-4,,,,brainstem respiratory centres,,,lung elastic recoil,,,abdominal wall,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,expiration,,,,,,,,,,,,,,,,,cell,thoracic cavity,thoracic cavity,UBERON:0002224,abdominal wall muscle cell,,,forced expiration,,,increases,contraction X,force,,,,,,,,,,raises intra-abdominal pressure and drives the diaphragm upward,seconds,systemic,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,airway resistance,Airway resistance,LOINC:75946-4,,,,brainstem respiratory centres,,,lung elastic recoil,,,abdominal wall,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,respiratory pump,muscle contraction,GO:0006936,expiration,,,,,,,,,,,,,,,,,cell,thoracic cavity,thoracic cavity,UBERON:0002224,internal intercostal muscle cell,,,forced expiration,,,increases,contraction X,force,,,,,,,,,,"pulls the ribs down and in, reducing thoracic volume",seconds,systemic,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,airway resistance,Airway resistance,LOINC:75946-4,,,,brainstem respiratory centres,,,lung elastic recoil,,,abdominal wall,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,bulk airflow and dead space,,,,,,,,,,,,,,,"alveolar PCO2 is inversely proportional to alveolar ventilation for a given CO2 production, which is why ventilation sets PaCO2","Bulk airflow delivers fresh gas to the alveoli, where it mixes with resident alveolar gas",organ,lung,lung,UBERON:0002048,lung,,,,,,does,transport of X from Y to Z,air,,,atmosphere,,,alveolus,,,"[4, 5]",units = L/min alveolar ventilation; minute ventilation 6-8 L/min minus dead space ventilation,seconds,,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,acid-base homeostasis,regulation of pH,GO:0006885,brainstem respiratory centres,,,ventilation-perfusion matching,,,,,,West's Respiratory Physiology: The Essentials,,2,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,bulk airflow and dead space,,,,,,,,,,,,,,,,,organ,lung,lung,UBERON:0002048,lung,,,anatomic dead space,,,decreases,transport of X from Y to Z,air,,,atmosphere,,,alveolus,,,"[0.20, 0.35]","units = dead space to tidal volume ratio; anatomic dead space about 150 mL, roughly 2 mL/kg",seconds,intra-organ,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,acid-base homeostasis,regulation of pH,GO:0006885,brainstem respiratory centres,,,ventilation-perfusion matching,,,,,,West's Respiratory Physiology: The Essentials,,2,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,bulk airflow and dead space,,,,,,,,,,,,,,,"regional ventilation and perfusion both increase toward the lung base, but perfusion increases more steeply, so the V/Q ratio falls from apex to base",Gravity-dependent pleural pressure gradients make basal alveoli ventilate better than apical ones,organ,lung,lung,UBERON:0002048,lung,,,gravity,,,increases,transport of X from Y to Z,air,,,atmosphere,,,dependent alveoli,,,,the pleural pressure gradient leaves dependent alveoli smaller at FRC and therefore on a steeper part of the compliance curve,seconds,systemic,intra-organ,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,acid-base homeostasis,regulation of pH,GO:0006885,brainstem respiratory centres,,,ventilation-perfusion matching,,,,,,West's Respiratory Physiology: The Essentials,,2,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,bulk airflow and dead space,,,,,,,,,,,,,,,,Ventilatory CO2 elimination sets arterial PCO2 and the respiratory arm of acid-base balance,organ,lung,lung,UBERON:0002048,lung,,,,,,does,X export,carbon dioxide,,,,,,,,,"[35, 45]",units = mmHg arterial PCO2; about 200 mL CO2 eliminated per minute at rest,seconds-minutes,,systemic,tidal volume,Tidal volume.inspired,LOINC:76221-1,respiratory rate,Respiratory rate,LOINC:9279-1,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,acid-base homeostasis,regulation of pH,GO:0006885,brainstem respiratory centres,,,ventilation-perfusion matching,,,,,,West's Respiratory Physiology: The Essentials,,2,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,"because resistance varies with the fourth power of radius, small changes in caliber produce large changes in resistance; the low contribution of small airways makes early disease there silent",Airway smooth muscle tone sets the calibre of conducting airways and hence resistance to airflow,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,,,,does,contraction,,,,,,,,,,"[1, 2]","units = cmH2O/L/s total airway resistance; medium bronchi dominate, small airways under 2 mm contribute only ~20%",seconds,,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,,,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,acetylcholine,,,increases,contraction X,force,,,,,,,,,,muscarinic M3; vagal tone is the dominant reversible component of resting bronchomotor tone,seconds,systemic,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,,,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,epinephrine,,,decreases,contraction X,force,,,,,,,,,,beta-2 adrenergic; the basis of bronchodilator therapy,seconds,circulatory,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,,,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,histamine,,,increases,contraction X,force,,,,,,,,,,,seconds,paracrine,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,,,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,cysteinyl leukotrienes,,,increases,contraction X,force,,,,,,,,,,far more potent than histamine on a molar basis and longer acting,minutes,paracrine,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,,,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,nitric oxide,,,decreases,contraction X,force,,,,,,,,,,,seconds,paracrine,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,,,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,airway carbon dioxide partial pressure,,,increases,contraction X,force,,,,,,,,,,"local hypocapnia in underperfused lung units constricts the airways serving them, the ventilatory mirror of hypoxic vasoconstriction",minutes,intra-organ,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,,,cell,bronchus,bronchus,UBERON:0002185,smooth muscle cell,smooth muscle cell,CL:0000192,lung volume,,,decreases,contraction X,force,,,,,,,,,,"radial traction from surrounding parenchyma holds airways open, so resistance falls hyperbolically as lung volume rises",seconds,intra-organ,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,airway resistance,regulation of tube diameter,GO:0035296,bronchomotor tone,,,,,,,,,,,,,,,loss of elastic recoil in emphysema moves the equal pressure point distally and produces flow limitation at lower efforts,,organ,lung,lung,UBERON:0002048,lung,,,pleural pressure,,,decreases,X export,alveolar gas,,,,,,,,,,"dynamic compression: beyond a threshold effort, expiratory flow becomes effort-independent as the equal pressure point moves into collapsible airways",seconds,intra-organ,intra-organ,airway resistance,Airway resistance,LOINC:75946-4,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,respiratory rate,Respiratory rate,LOINC:9279-1,,,,autonomic nervous system,,,inflammatory mediators,,,lung volume,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar stability,,,surfactant production,,,,,,,,,,,,,,,"by Laplace, surface tension in a sphere generates a collapsing pressure inversely proportional to radius; surfactant lowers tension more in smaller alveoli, which stabilises them against emptying into larger ones",Type II pneumocytes secrete surfactant from lamellar bodies onto the alveolar surface,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063,,,,does,X secretion,pulmonary surfactant,,,,,,,,,,dipalmitoylphosphatidylcholine-rich; lowers alveolar surface tension from about 70 to under 5 mN/m at end-expiration,minutes-hours,,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,tidal volume,Tidal volume.inspired,LOINC:76221-1,,,,alveolar fluid clearance,,,lung compliance,,,fetal lung maturation,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar stability,,,surfactant production,,,,,,,,,,,,,,,,,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063,lung inflation,,,increases,X secretion,pulmonary surfactant,,,,,,,,,,deep breaths and sighs stimulate release; surfactant turnover half-life is a matter of hours,minutes-hours,intra-organ,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,tidal volume,Tidal volume.inspired,LOINC:76221-1,,,,alveolar fluid clearance,,,lung compliance,,,fetal lung maturation,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar stability,,,surfactant production,,,,,,,,,,,,,,,,,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063,glucocorticoid,,,increases,X secretion,pulmonary surfactant,,,,,,,,,,the basis for antenatal corticosteroid administration before preterm delivery,hours-days,circulatory,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,tidal volume,Tidal volume.inspired,LOINC:76221-1,,,,alveolar fluid clearance,,,lung compliance,,,fetal lung maturation,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar stability,,,surfactant production,,,,,,,,,,,,,,,,Type II pneumocytes serve as the alveolar epithelial progenitor,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063,,,,does,X synthesis,pulmonary alveolar type 1 cell,,,,,,,,,,type II cells are the progenitor population that restores the type I epithelium after injury,hours-days,,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,tidal volume,Tidal volume.inspired,LOINC:76221-1,,,,alveolar fluid clearance,,,lung compliance,,,fetal lung maturation,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
