Time Range,Major Organs,AS,FTU,CT,B,Unknown
1min - < 1hr,bone,,,,,osteocalcin production@osteoblast SECRETES osteocalcin; sclerostin production@osteocyte SECRETES sclerostin
1min - < 1hr,heart,antrial natriuretic peptide production@atrial cardiomyocyte SECRETES atrial natriuretic peptide; brain natriuretic peptide production@ventricular cardiomyocyte SECRETES brain natriuretic peptide,,,,
1min - < 1hr,hypothalamus,argininine vasopression production@magnocellular neuron SECRETES vasopressin; fluid and electrolyte homeostasis@nan; glucose homeostasis@nan; luteinizing hormone releasing hormone production@nan; luteinizing hormone releasing hormone production@parvicellular neuron SECRETES gnrh; oxytocin production@magnocellular neuron SECRETES oxytocin,,,,
1min - < 1hr,kidney,angiotensin II production@renal tubular endothelial cell SECRETES angiotensin ii; prostacyclin I2 release@glomerular enothelial cell SECRETES pgi2; renin production@juxtaglomerular cell SECRETES renin,,,,
1min - < 1hr,liver,,,FGF21 production@hepatocyte SECRETES fgf21; hepcidin production@hepatocyte SECETES hepcidin; igf-1 production@hepatocyte SECRETES igf-1,,
1min - < 1hr,lung,angiotensin II production@pulmonary capillary endothelial cell SECRETES angiotensin ii,,,,
1min - < 1hr,pancreas,,C-peptide production@beta cell SECRETES c-peptide; amylin production@beta cell SECRETES amylin; amylin production@nan; glucagon production@alpha cell SECRETES glucagon; glucagon production@glucagon INCREASES gluconeogenesis; glucagon production@glucagon INCREASES glycogenolysis; insulin production@beta cell SECRETES insulin; insulin production@insulin INCREASES glucose uptake; insulin production@insulin INCREASES glycogen storage; pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide; pancreatic polypeptide production@nan; somatostatin production@delta cell SECRETES somatostatin; somatostatin production@nan,,,
1min - < 1hr,parathyroid gland,,,,,parathyroid hormone release@nan; parathyroid hormone release@parathyroid chief cell SECRETES pth
1min - < 1hr,peripheral tissues,,,,,T4 deiodination@nan
1min - < 1hr,pituitary gland,,,,,adrenocorticotropin hormone production@anterior pituitary SECRETES acth; follicle stimulating hormone production@IF (sex = female): fsh STIMULATES granulosa cell; follicle stimulating hormone production@IF (sex = male): fsh STIMULATES sertoli cell; growth hormone production@anterior pituitary SECRETES growth hormone; growth hormone production@nan; growth hormone release@nan; luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone; luteinizing hormone production@nan; prolactin release@anterior pituitary SECRETES prolactin; thyroid stimulating hormone production@anterior pituitary SECRETES tsh; thyroid stimulating hormone release@nan
1min - < 1hr,placenta,estrogen production@placenta SECRETES estrog; human chorionic gonadotroph production@placenta SECRETES beta hcg; parathyroid hormone related protein production@placenta SECRETES pthrp; progesterone production@placenta SECRETES progesterone,,,,
1min - < 1hr,small intestine,cholecystokinin production@duodenal i cell SECRETES cholecytokinin; cholecystokinin production@nan; gastric inhibitory peptide production@duodenal k cell SECRETES gastric inhibitory peptide; gastric inhibitory peptide production@nan; glp-1 production@ileal l cell SECRETES glp-1; glp-1 production@nan; motilin production@duodenal mo cell SECRETES motilin; secretin production@duodenal s cell SECRETES secretin,,,,
1min - < 1hr,stomach,gastric acid secretion@gastric parietal cell SECRETES gastric acid; ghrelin production@gastric p/d1 cell SECRETES ghrelin,,gastrin production@gastric g cell SECRETES gastrin,,
1min - < 1hr,thyroid gland,,,,,T4 deiodination@nan; T4 synthesis@thyroid epithelial cell SECRETES t4; calcitonin production@parafollicular c cell SECRETES calcitonin; thyroglobulin storage@nan
1min - < 1hr,vasculature,nitric oxide production@capillary endothelial cell SECRETES nitric oxide; nitric oxide production@nan,,,,
1s - < 1min,hypothalamus,corticotropin releasing hormone release@parvicellular neuron SECRETES crh; dopamine release@parvicelular neuron SECRETES dopamine; growth hormone releasing hormone release@parvicellular neuron SECRETES ghrh; luteinizing hormone releasing hormone release@nan; somatostatin production@parvicellular neuron SECRETES dopamine; somatostatin production@parvicellular neuron SECRETES somatostatin; thyrotropin releasing hormone release@parvicellular neuron SECRETES trh,,,,
1s - < 1min,pituitary gland,,,,,adrenocorticotropin hormone release@hypothalamus SECRETES crh; argininine vasopression release@nan; argininine vasopression release@posterior pituitary SECRETES vasopressin; luteinizing hormone release@nan; oxytocin release@nan; oxytocin release@posterior pituitary SECRETES oxytocin
1s - < 1min,vasculature,nitric oxide production@capillary endothelial cell SECRETES nitric oxide; nitric oxide production@nan,,,,
