CL_LABELS,CL_IDs,WPP_SOURCES
medullary thymic epithelial cell,CL:0002365,immune-and-lymphatic-system
respiratory tract goblet cell,CL:0002370,immune-and-lymphatic-system
intermediate monocyte,CL:0002393,immune-and-lymphatic-system
fetal thymocyte,CL:0002404,immune-and-lymphatic-system
mature T cell,CL:0002419,immune-and-lymphatic-system
immature T cell,CL:0002420,immune-and-lymphatic-system
nucleated reticulocyte,CL:0002421,immune-and-lymphatic-system
"CD4-intermediate, CD8-positive double-positive thymocyte",CL:0002430,immune-and-lymphatic-system
small intestine serosal dendritic cell,CL:0002466,immune-and-lymphatic-system
intraepithelial lymphocyte,CL:0002496,immune-and-lymphatic-system
type M enteroendocrine cell,CL:0002502,endocrine-system
kidney epithelial cell,CL:0002518,urinary-system
fibroblast of dermis,CL:0002551,endocrine-system | female-reproductive-system | male-reproductive-system
hair follicle cell,CL:0002559,integumentary-system
inner root sheath cell,CL:0002560,integumentary-system
outer root sheath cell,CL:0002561,integumentary-system
intestinal epithelial cell,CL:0002563,immune-and-lymphatic-system
smooth muscle cell of trachea,CL:0002600,pulmonary-system
glomerular capillary,CL:0004212,endocrine-system
ghrelin secreting cell,CL:0005018,endocrine-system
enteric neuron,CL:0007011,immune-and-lymphatic-system
skeletal muscle fiber,CL:0008002,endocrine-system | female-reproductive-system | male-reproductive-system | muscular-system | nervous-system
alpha motor neuron,CL:0008038,nervous-system
lower motor neuron,CL:0008039,muscular-system | nervous-system
salivary gland cell,CL:0009005,digestive-system
transit amplifying cell,CL:0009010,integumentary-system
stromal cell of anorectum lamina propria,CL:0009053,immune-and-lymphatic-system
germinal center T cell,CL:0009062,immune-and-lymphatic-system
fibroblastic reticular cell,CL:0009101,immune-and-lymphatic-system
lymph node fibroblastic reticular cell,CL:0009102,immune-and-lymphatic-system
magnocellular neurosecretory cell,CL:0011003,endocrine-system
neural crest cell,CL:0011012,integumentary-system
vagal neural crest cell,CL:0011017,digestive-system | pulmonary-system
lymphoid tissue‚Äìinducer cell,CL:0011018,immune-and-lymphatic-system
double negative T regulatory cell,CL:0011024,immune-and-lymphatic-system
progenitor cell,CL:0011026,integumentary-system
dermal microvascular endothelial cell,CL:0011030,immune-and-lymphatic-system
chorionic trophoblast cell,CL:0011101,female-reproductive-system
colon epithelial cell,CL:0011108,immune-and-lymphatic-system
precursor cell,CL:0011115,immune-and-lymphatic-system
endothelial cell of periportal hepatic sinusoid,CL:0019021,immune-and-lymphatic-system
intestine goblet cell,CL:0019031,digestive-system
V1delta gamma-delta T cell,CL:0020001,immune-and-lymphatic-system
"mucosal-associated invariant T cell, human",CL:0020002,immune-and-lymphatic-system
colonocyte,CL:1000347,digestive-system
stem cell of epidermis,CL:1000428,integumentary-system
epithelial cell of sweat gland,CL:1000448,integumentary-system
cholangiocyte,CL:1000488,digestive-system
kidney glomerular epithelial cell,CL:1000510,endocrine-system
juxtaglomerular complex cell,CL:1000618,endocrine-system | ﻿cardiovascular-system
kidney proximal convoluted tubule epithelial cell,CL:1000838,dental-and-craniofacial-system | endocrine-system | skeletal-system | urinary-system | ﻿cardiovascular-system
kidney proximal straight tubule epithelial cell,CL:1000839,urinary-system
kidney arterial blood vessel cell,CL:1000891,urinary-system
kidney loop of Henle epithelial cell,CL:1000909,urinary-system
kidney afferent arteriolar cell,CL:1001006,endocrine-system | ﻿cardiovascular-system
sensory neuron of dorsal root ganglion,CL:1001451,nervous-system
parvocellular neurosecretory cell,CL:1001505,endocrine-system | female-reproductive-system | male-reproductive-system
stomach enteroendocrine cell,CL:1001517,immune-and-lymphatic-system
lung endothelial cell,CL:1001567,pulmonary-system
colon endothelial cell,CL:1001572,immune-and-lymphatic-system
nasopharyngeal epithelial cell,CL:1001573,immune-and-lymphatic-system | integumentary-system
uterine cervix squamous cell,CL:1001575,immune-and-lymphatic-system
lateral ventricle glial cell,CL:1001581,immune-and-lymphatic-system
duodenum secretory cell,CL:1001589,endocrine-system
small intestine secretory cell,CL:1001598,digestive-system
cerebral cortex endothelial cell,CL:1001602,integumentary-system
bone marrow hematopoietic cell,CL:1001610,immune-and-lymphatic-system
decidual cell,CL:2000002,female-reproductive-system
dermis blood vessel endothelial cell,CL:2000010,integumentary-system
dermis lymphatic vessel endothelial cell,CL:2000011,immune-and-lymphatic-system | integumentary-system
sebaceous gland cell,CL:2000021,integumentary-system
hypothalamus cell,CL:2000030,immune-and-lymphatic-system
liver dendritic cell,CL:2000055,digestive-system | immune-and-lymphatic-system
placental villous trophoblast,CL:2000060,female-reproductive-system
direct pathway medium spiny neuron,CL:4023026,nervous-system
arachnoid barrier cell,CL:4023097,immune-and-lymphatic-system
pulmonary capillary endothelial cell,CL:4028001,endocrine-system | ﻿cardiovascular-system
"effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated",CL:4030002,immune-and-lymphatic-system
renal cortical fibroblast,CL:4030025,urinary-system
cycling endothelial cell of lymphatic vessel,CL:4033079,pulmonary-system
cervicothoracic ganglion TH neuron,CL:4033114,immune-and-lymphatic-system
mesenchymal stem cell of apical papilla,CL:4040005,digestive-system
immune oligodendroglia,CL:4042031,immune-and-lymphatic-system
CGRP-expressing neuron,CL:4042034,immune-and-lymphatic-system
fetal artery endothelial cell,CL:4047006,immune-and-lymphatic-system | integumentary-system
intestinal lamina propria fibroblast,CL:4047023,immune-and-lymphatic-system
smooth muscle cell of stomach,CL:4047034,nervous-system
type 2 interganglionic glia,CL:4047044,immune-and-lymphatic-system
type 3 mucosal glia,CL:4047045,immune-and-lymphatic-system
syncytial cell,CL:4052002,integumentary-system
intestinal villus capillary endothelial cell,CL:4052003,digestive-system
subepithelial intestinal fibroblast,CL:4052007,immune-and-lymphatic-system
granzyme K-associated CD8 T cell,CL:4052021,immune-and-lymphatic-system
spinous cell,CL:4052060,integumentary-system
epidermal keratinocyte,CL:4052061,integumentary-system
nail bed keratinocyte,CL:4052063,integumentary-system
nail matrix keratinocyte,CL:4052064,integumentary-system
hair follicle dermal stem cell,CL:4072103,integumentary-system
suprabasal cell,CL:7770004,integumentary-system
