integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,filaggrin loss-of-function is the strongest single genetic risk factor for atopic dermatitis,Filaggrin breakdown products accumulate in corneocytes as an endogenous humectant,cell,stratum corneum,stratum corneum of epidermis,UBERON:0002027,keratinocyte,keratinocyte,CL:0000312,,,,does,X storage,natural moisturising factor,,,,,,,,,,filaggrin proteolysis yields hygroscopic amino acids and derivatives that hold water in the corneum,hours-days,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,the acid mantle both restrains pathogen colonisation and sets the pH optimum for lipid-processing and desquamation enzymes,"Keratinocytes acidify the skin surface, creating the acid mantle",cell,stratum corneum,stratum corneum of epidermis,UBERON:0002027,keratinocyte,keratinocyte,CL:0000312,,,,does,X secretion,hydrogen ion,,,,,,,,,"[4.5, 5.5]","units = skin surface pH; maintained by NHE1, free fatty acids and urocanic acid",hours,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,reduced antimicrobial peptide expression in atopic dermatitis helps explain susceptibility to Staphylococcus aureus and eczema herpeticum,Keratinocytes secrete a broad antimicrobial peptide repertoire onto the skin surface,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,X secretion,antimicrobial peptides,,,,,,,,,,"beta-defensins, cathelicidin LL-37, RNase 7 and psoriasin; constitutive with strong inducible upregulation",hours,,intra-organ,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,calcitriol,,,increases,X secretion,antimicrobial peptides,,,,,,,,,,vitamin D receptor signalling directly induces cathelicidin transcription,hours-days,circulatory,intra-organ,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,barrier disruption,,,increases,X secretion,antimicrobial peptides,,,,,,,,,,,hours,intra-organ,intra-organ,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,,"Keratinocytes act as immune sentinels, releasing cytokines on barrier breach",cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,X secretion,inflammatory cytokines,,,,,,,,,,"IL-1 alpha is stored preformed in keratinocytes and released immediately on injury, without transcription",minutes-hours,,paracrine,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,barrier disruption,,,increases,X secretion,thymic stromal lymphopoietin,,,,,,,,,,TSLP with IL-25 and IL-33 drives type 2 responses; the proposed initiating step of the atopic march,hours,intra-organ,paracrine,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,,Langerhans cells sample antigen across the epidermal tight junction barrier,cell,epidermis,epidermis,UBERON:0001003,Langerhans cell,Langerhans cell,CL:0000453,,,,does,X uptake,antigen,,,,,,,,,,dendrites extend between keratinocytes through tight junctions to sample the surface; 2-5% of epidermal cells,minutes-hours,,intra-organ,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,,Antigen-bearing Langerhans cells migrate to the draining node to prime T cells,cell,epidermis,epidermis,UBERON:0001003,Langerhans cell,Langerhans cell,CL:0000453,,,,does,transport of X from Y to Z,Langerhans cell,,,epidermis,,,skin-draining lymph node,,,,,hours,,intra-organ,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,tissue-resident memory T cells persist locally for years and underlie fixed drug eruption and recurrent site-specific responses,Resident memory T cells provide antigen-specific defence without recruitment from blood,cell,dermis,dermis,UBERON:0002067,T cell,T cell,CL:0000084,,,,does,X secretion,interferon gamma,,,,,,,,,,"the skin holds on the order of 2 x 10^10 T cells, roughly twice the number in the entire circulation",hours,,paracrine,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,,Dermal mast cells release vasoactive mediators on immune or physical triggering,cell,dermis,dermis,UBERON:0002067,mast cell,mast cell,CL:0000097,,,,does,X secretion,histamine,,,,,,,,,,dermal mast cells are densest around vessels and nerves; degranulation produces the weal and flare,seconds,,paracrine,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,cutaneous immunity,innate immune response,GO:0045087,cutaneous innate defence,antimicrobial humoral response,GO:0019730,antimicrobial peptide production,,,,,,,,,,,,,,,the same lipase activity contributes to follicular inflammation in acne,"Commensal lipases hydrolyse sebum, reinforcing the chemical barrier",organ,skin,skin of body,UBERON:0002097,skin microbiota,,,,,,does,X conversion to Y,sebum triacylglycerols,,,free fatty acids,,,,,,,Cutibacterium acnes lipases; the released fatty acids lower surface pH and inhibit competing pathogens,hours,,intra-organ,skin surface pH,,,skin swab culture,,,,,,,,,skin microbiota,,,immune system,immune system process,GO:0002376,vitamin D signalling,,,barrier integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,pigmentation,pigmentation,GO:0043473,melanin synthesis and transfer,melanin biosynthetic process,GO:0042438,epidermal melanin unit,,,,,,,,,,,,,,,"melanocyte density is essentially equal across skin phototypes; what differs is melanosome number, size, and degree of degradation",Melanocytes synthesise eumelanin and pheomelanin within melanosomes,cell,epidermis,epidermis,UBERON:0001003,melanocyte,melanocyte,CL:0000148,,,,does,X conversion to Y,tyrosine,,,melanin,,,,,,,tyrosinase-dependent; one melanocyte serves roughly 36 keratinocytes as an epidermal melanin unit,hours-days,,intra-organ,Fitzpatrick skin phototype,,,minimal erythema dose,,,,,,,,,ultraviolet exposure,,,endocrine system,endocrine process,GO:0050886,vitamin D synthesis,,,skin cancer risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,pigmentation,pigmentation,GO:0043473,melanin synthesis and transfer,melanin biosynthetic process,GO:0042438,epidermal melanin unit,,,,,,,,,,,,,,,,Mature melanosomes are transferred along dendrites into surrounding keratinocytes,cell,epidermis,epidermis,UBERON:0001003,melanocyte,melanocyte,CL:0000148,,,,does,transport of X from Y to Z,melanosome,,,melanocyte,,,keratinocyte,,,,transferred via dendrites; each melanocyte maintains transfer to its full keratinocyte cohort,hours-days,,intra-organ,Fitzpatrick skin phototype,,,minimal erythema dose,,,,,,,,,ultraviolet exposure,,,endocrine system,endocrine process,GO:0050886,vitamin D synthesis,,,skin cancer risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,pigmentation,pigmentation,GO:0043473,melanin synthesis and transfer,melanin biosynthetic process,GO:0042438,epidermal melanin unit,,,,,,,,,,,,,,,this geometry is the actual photoprotective structure: pigment is placed between incoming photons and nuclear DNA,Keratinocytes park transferred melanin as a nuclear cap shielding genomic DNA,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,X storage,melanin,,,,,,,,,,melanosomes are positioned as a supranuclear cap on the sun-exposed side of the nucleus,days,,intra-organ,Fitzpatrick skin phototype,,,minimal erythema dose,,,,,,,,,ultraviolet exposure,,,endocrine system,endocrine process,GO:0050886,vitamin D synthesis,,,skin cancer risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,pigmentation,pigmentation,GO:0043473,melanin synthesis and transfer,melanin biosynthetic process,GO:0042438,epidermal melanin unit,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,melanocyte,melanocyte,CL:0000148,ultraviolet radiation,,,increases,X conversion to Y,tyrosine,,,melanin,,,,,,,immediate pigment darkening within minutes reflects oxidation of existing melanin; true delayed tanning takes 3-7 days,days,intra-organ,intra-organ,Fitzpatrick skin phototype,,,minimal erythema dose,,,,,,,,,ultraviolet exposure,,,endocrine system,endocrine process,GO:0050886,vitamin D synthesis,,,skin cancer risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,pigmentation,pigmentation,GO:0043473,melanin synthesis and transfer,melanin biosynthetic process,GO:0042438,epidermal melanin unit,,,,,,,,,,,,,,,,UV damage in keratinocytes triggers paracrine melanocyte stimulation,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,ultraviolet radiation,,,increases,X secretion,alpha-melanocyte stimulating hormone,,,,,,,,,,"UV-induced p53 drives keratinocyte POMC transcription, making the keratinocyte the sensor and the melanocyte the effector",hours-days,intra-organ,paracrine,Fitzpatrick skin phototype,,,minimal erythema dose,,,,,,,,,ultraviolet exposure,,,endocrine system,endocrine process,GO:0050886,vitamin D synthesis,,,skin cancer risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,pigmentation,pigmentation,GO:0043473,melanin synthesis and transfer,melanin biosynthetic process,GO:0042438,epidermal melanin unit,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,melanocyte,melanocyte,CL:0000148,alpha-melanocyte stimulating hormone,,,increases,X conversion to Y,tyrosine,,,melanin,,,,,,,"MC1R signalling shifts synthesis toward eumelanin; loss-of-function variants give red hair, poor tanning and higher melanoma risk",days,paracrine,intra-organ,Fitzpatrick skin phototype,,,minimal erythema dose,,,,,,,,,ultraviolet exposure,,,endocrine system,endocrine process,GO:0050886,vitamin D synthesis,,,skin cancer risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,pigmentation,pigmentation,GO:0043473,melanin synthesis and transfer,melanin biosynthetic process,GO:0042438,epidermal melanin unit,,,,,,,,,,,,,,,the same shielding that lowers DNA damage also lowers cutaneous vitamin D synthesis for a given exposure,Epidermal melanin attenuates ultraviolet penetration to the proliferative basal layer,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,melanin,,,decreases,transport of X from Y to Z,ultraviolet radiation,,,skin surface,,,basal layer,,,,"deeply pigmented skin transmits a small fraction of the UVB reaching lightly pigmented skin, corresponding to a modest intrinsic SPF",seconds,intra-organ,intra-organ,Fitzpatrick skin phototype,,,minimal erythema dose,,,,,,,,,ultraviolet exposure,,,endocrine system,endocrine process,GO:0050886,vitamin D synthesis,,,skin cancer risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,metabolic and endocrine function,metabolic process,GO:0008152,vitamin D synthesis,vitamin D biosynthetic process,GO:0042368,cutaneous photosynthesis of cholecalciferol,,,,,,,,,,,,,,,"thermal isomerisation to cholecalciferol then proceeds over hours; the reaction is self-limiting, so prolonged exposure does not cause toxicity",UVB photolysis of 7-dehydrocholesterol initiates vitamin D synthesis in the epidermis,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,X conversion to Y,7-dehydrocholesterol,,,previtamin D3,,,,,,,"UVB at 290-315 nm; the skin is the dominant source of vitamin D for most people, exceeding dietary intake",minutes-hours,,circulatory,serum 25-hydroxyvitamin D,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC:1989-3,serum calcium,,,,,,,,,hepatic 25-hydroxylation,,,renal 1-alpha-hydroxylation,,,bone metabolism,,,endocrine system,endocrine process,GO:0050886,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,metabolic and endocrine function,metabolic process,GO:0008152,vitamin D synthesis,vitamin D biosynthetic process,GO:0042368,cutaneous photosynthesis of cholecalciferol,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,melanin,,,decreases,X conversion to Y,7-dehydrocholesterol,,,previtamin D3,,,,,,,higher constitutive pigmentation requires substantially longer exposure for equivalent synthesis,minutes-hours,intra-organ,circulatory,serum 25-hydroxyvitamin D,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC:1989-3,serum calcium,,,,,,,,,hepatic 25-hydroxylation,,,renal 1-alpha-hydroxylation,,,bone metabolism,,,endocrine system,endocrine process,GO:0050886,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,metabolic and endocrine function,metabolic process,GO:0008152,vitamin D synthesis,vitamin D biosynthetic process,GO:0042368,cutaneous photosynthesis of cholecalciferol,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,age,,,decreases,X conversion to Y,7-dehydrocholesterol,,,previtamin D3,,,,,,,"epidermal 7-dehydrocholesterol content falls markedly with age, roughly halving by the eighth decade",minutes-hours,systemic,circulatory,serum 25-hydroxyvitamin D,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC:1989-3,serum calcium,,,,,,,,,hepatic 25-hydroxylation,,,renal 1-alpha-hydroxylation,,,bone metabolism,,,endocrine system,endocrine process,GO:0050886,,,,,,,,,,,,,,,,,,,,,,,,,,
