Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
urinary system,Bladder,urinary bladder,UBERON:0001255,AS,,Internal sphincter control@Sympathetic α₁ – leads to – outlet contracting during filling,,,,,,
urinary system,Bladder,urinary bladder,UBERON:0001255,AS,,Detrusor relaxation@Sympathetic β₂/β₃ – leads to – outlet relaxation during filling,,,,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,,Renin secretion (RAAS)@Macula densa – senses – NaCl， JG cell – releases – renin,,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,,,"Net acid excretion@NH₄⁺ – contributes to – NAE；TA (titratable acid) – contributes to – NAE；
 HCO₃⁻ – reduces – NAE","Net acid excretion@NH₄⁺ – contributes to – NAE；TA (titratable acid) – contributes to – NAE；
 HCO₃⁻ – reduces – NAE",,,
urinary system,Kidney,kidney collecting duct epithelial cell,CL:1000454,CT,,,Type A vs. B intercalated cell polarity@α – secrete – H⁺; β – secrete – HCO₃⁻,Type A vs. B intercalated cell polarity@α – secrete – H⁺; β – secrete – HCO₃⁻,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Ca²⁺ reabsorption (DCT)@TRPV5 channels – mediates – distal Ca²⁺ reabsorption; PTH – increases – distal Ca²⁺ reabsorption,,,,
urinary system,Kidney,distal convoluted tubule,UBERON:0001292,AS,,,Cl⁻ reabsorption@Paracellular – mediates – transport in PT; NKCC2 – mediates – ion reabsorption in TAL; NaCl cotransporter – mediates – NaCl reabsorption in DCT,,,,,
urinary system,Kidney,vasa cecta,UBERON:0004726,AS,,,,Free water excretion@Low ADH – reduces – water reabsorption; High DTL/TAL flow – washes out – medullary gradient,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,Na⁺ reabsorption (bulk)@Na⁺/H⁺ – exchange – ions; Na⁺-solute – cotransport – solutes; Water – follows – osmotic gradient,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,H⁺/K⁺ exchange@α-IC cells – secrete – H⁺; α-IC cells – reabsorb – K⁺,,,,,
urinary system,Kidney,kidney,UBERON:0002113,AS,,,Organic anion secretion@PAH – secreted – PT; Oxalate – secreted – PT; Sulfate – secreted – PT,,,,,
urinary system,Kidney,kidney,UBERON:0002113,AS,,,Intrarenal dopamine@Dopamine – promotes – natriuresis in PT/CD,Intrarenal dopamine@Dopamine – promotes – natriuresis in PT/CD,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,ROMK recycling in TAL@K⁺ recycling – drives – lumen +ve voltage,ROMK recycling in TAL@K⁺ recycling – drives – lumen +ve voltage,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,NaCl reabsorption (DCT)@Thiazide-sensitive NaCl cotransporter – mediates – NaCl reabsorption,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,,"1,25(OH)₂D synthesis@Proximal tubule converts 25(OH)D – leads to – 1,25(OH)₂D",,,
urinary system,Kidney,kidney interstitium,UBERON:0005215,AS,,,,,Erythropoietin@Cortical interstitial fibroblasts – produce – EPO； Hypoxia – stimulates – EPO production,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,,"ANP-mediated natriuresis@ANP dilates afferent, constricts efferent – leads to – ↑ GFR & Na⁺ excretion","ANP-mediated natriuresis@ANP dilates afferent, constricts efferent – leads to – ↑ GFR & Na⁺ excretion",,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,Podocyte slit diaphragm@Barrier – filters – solutes based on charge and size,,,,,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,Myogenic response@Afferent arteriole – constricts – in response to pressure ↑,,,,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,Tubuloglomerular feedback@Macula densa – senses – NaCl; Macula densa – adjusts – afferent tone,Tubuloglomerular feedback@Macula densa – senses – NaCl; Macula densa – adjusts – afferent tone,,,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,,Mesangial cell contractility@Mesangial cells – alter – filtration surface area,Mesangial cell contractility@Mesangial cells – alter – filtration surface area,,,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,,Glomerular filtration@Glomerular filtration barrier – filters – plasma water/solutes; Filtration – selective for – size and charge,,,,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,"Starling forces@P_gc, P_bs, π_gc – determine – GFR; Hydrostatic and oncotic pressures – regulate – filtration rate",,,,,,,
urinary system,Kidney,renal efferent arteriole,UBERON:0004640,AS,,Filtration fraction@RPF – filtered fraction – GFR/RPF; GFR – equals – 20% of RPF,,,,,,
urinary system,Kidney,cortex of kidney,UBERON:0001186,AS,,,,Gluconeogenesis@Renal cortex – generates – glucose from substrates (esp. fasting),,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,,Renal plasma flow@PAH clearance – approximates – effective renal plasma flow (eRPF),,,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,,Afferent vs. efferent constriction@Afferent arteriole – constriction – decreases GFR,,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Aldosterone action@Efferent arteriole – constriction – increases GFR,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Kidney–lung acid–base synergy@Aldosterone – increases – ENaC activity,Kidney–lung acid–base synergy@Aldosterone – increases – ENaC activity,,,
urinary system,Kidney,distal convoluted tubule,UBERON:0001292,AS,,,,"Mg²⁺ reabsorption@TAL – paracellular transport – ions (Na⁺, Mg²⁺, Ca²⁺)",,,,
urinary system,Kidney,cortex of kidney,UBERON:0001186,AS,,,,Gluconeogenesis@DCT – TRPM6 – Mg²⁺ reabsorption,Gluconeogenesis@DCT – TRPM6 – Mg²⁺ reabsorption,,,
urinary system,,,,Unknown,,,,Gluconeogenesis@Renal cortex – generates – glucose from substrates (esp. fasting),Gluconeogenesis@Renal cortex – generates – glucose from substrates (esp. fasting),,,
urinary system,Kidney,lymph vasculature,UBERON:0004536,AS,,,,Renal lymphatics@Lymphatic system – drains – interstitial fluid & supports immune surveillance,Renal lymphatics@Lymphatic system – drains – interstitial fluid & supports immune surveillance,,,
urinary system,Lower urinary tract,lower urinary tract,UBERON:0001556,AS,,Bladder emptying@Parasympathetic system – contracts – detrusor muscle; voluntary control – relaxes – external urethral sphincter,,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,"Uric acid handling@Substance – filtered, partially reabsorbed & secreted – renal tubule",,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,,,Creatinine clearance@Endogenous marker – approximates – GFR,Creatinine clearance@Endogenous marker – approximates – GFR,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,Glucose reabsorption@SGLT2 (S1/S2) and SGLT1 (S3) – reabsorb – glucose; basolateral GLUT2 – transports – glucose to interstitium,,,,,
urinary system,Kidney,kidney,UBERON:0002113,AS,,,Amino acid reabsorption@Proximal tubule cotransporters – reclaim – nearly all amino acids,,,,,
urinary system,Kidney,proximal straight tubule,UBERON:0001290,AS,,,Lactate reabsorption@Lactate – reabsorbed – with H⁺ and Na⁺ in proximal tubule,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,Creatinine secretion@Creatinine – ~10% secreted – in proximal tubule,,,,,
urinary system,Kidney,kidney,UBERON:0002113,AS,,,Creatinine & drugs@Organic cation transporters (OCTs) – secrete – cations into proximal tubule lumen,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,"Organic acid secretion@PAH, creatinine, penicillin – secreted – into proximal tubule lumen",,,,,
urinary system,Kidney,kidney,UBERON:0002113,AS,,,Peptide/protein reabsorption@Megalin/cubilin – mediate – endocytosis of filtered peptides,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Countercurrent multiplier@Descending limb – permeable – to water,,,,
urinary system,Kidney,descending thin limb,UBERON:0005096,AS,,Thin descending limb@Thick ascending limb – exports – solutes via NKCC2,Thin descending limb@Thick ascending limb – exports – solutes via NKCC2,,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,,Thin ascending limb@Thin ascending limb – reabsorbs – NaCl passively; impermeable – to water,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Pi reabsorption (Na⁺–Pi)@PTH – reduces – Na⁺-Pi cotransporters in proximal tubule,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,,"K⁺ reabsorption (PT, TAL)@Proximal tubule – reabsorbs – solutes via paracellular transport (solvent drag/diffusion)",,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,,"K⁺ reabsorption (PT, TAL)@Thick ascending limb – reabsorbs – solutes via NKCC2",,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,K⁺ secretion (late DT/CD)@Principal cells – secrete – K⁺,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Pressure natriuresis@↑ arterial pressure – leads to – ↑ Na⁺ excretion independent of hormones,,,,
urinary system,Kidney,vasa cecta,UBERON:0004726,AS,,,Vasa recta countercurrent exchange@Vasa recta – preserves – medullary osmotic gradient,Vasa recta countercurrent exchange@Vasa recta – preserves – medullary osmotic gradient,,,,
urinary system,Kidney,renal efferent arteriole,UBERON:0004640,AS,,Renal vasoconstriction@Sympathetic activity – reduces – renal blood flow (RBF) and glomerular filtration rate (GFR),,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,Urea recycling (IMCD)@ADH – increases – UT-A1/UT-A3 expression; urea – recycled – to inner medulla,,,,,
urinary system,Ureter,kidney,UBERON:0002113,AS,,Peristalsis@Smooth muscle – contracts in waves – to drive urine to bladder,,,,,,
urinary system,Kidney,kidney,UBERON:0002113,AS,,,Endothelin@Endothelin – acts as – strong intrarenal vasoconstrictor,,,,,
urinary system,Kidney,kidney vasculature,UBERON:0006544,AS,,,Prostaglandins & NO@Vasodilatory mechanisms counteract Ang II–mediated vasoconstriction,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Natriuresis & diuresis@Volume expansion promotes natriuresis and diuresis,,,,
urinary system,Bladder outlet,,,Unknown,,External sphincter@Pudendal nerve maintains external urethral sphincter tone,,,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,ADH-dependent water reabsorption@V2 receptor signaling promotes AQP2 insertion in principal cells,,,,,
urinary system,Kidney,descending thin limb,UBERON:0005096,AS,,AQP1-mediated water reabsorption@Na⁺ reabsorption always active in proximal tubule (PT) and descending thin limb,AQP1-mediated water reabsorption@Na⁺ reabsorption always active in proximal tubule (PT) and descending thin limb,,,,,
urinary system,Kidney,renal glomerulus,UBERON:0000074,AS,Renal blood flow@Renal blood flow (RBF) ≈ 1.1 L/min (~25% of cardiac output); RBF = ΔP / R,,,,,,,
urinary system,Kidney,nephron tubule,UBERON:0001231,AS,,pump-leak systems@Solute transport establishes diffusion gradient in epithelial cells,pump-leak systems@Solute transport establishes diffusion gradient in epithelial cells,,,,,
urinary system,Kidney,kidney blood vessel,UBERON:0003517,AS,,,fluid uptake@Bulk flow of interstitial fluid supports peritubular capillary reabsorption,fluid uptake@Bulk flow of interstitial fluid supports peritubular capillary reabsorption,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,"Organic Nutrients[VitB&C, Acetate, ketones, Kreb cycle intermediates]@Reabsorption of 100% of filtered organic nutrients in the proximal tubule (PCT)","Organic Nutrients[VitB&C, Acetate, ketones, Kreb cycle intermediates]@Reabsorption of 100% of filtered organic nutrients in the proximal tubule (PCT)",,,,
urinary system,Kidney,nephron tubule,UBERON:0001231,AS,,,,Urea@Urea reabsorption occurs in PCT (50%) and IMCD (10%) contributing to medullary osmotic gradient,Urea@Urea reabsorption occurs in PCT (50%) and IMCD (10%) contributing to medullary osmotic gradient,,,
urinary system,Kidney,nephron tubule,UBERON:0001231,AS,,"water reabsorption@Segmental reabsorption of Na⁺ and water: PCT 65%, PST 5%, DTL 5%, CD 5–25%","water reabsorption@Segmental reabsorption of Na⁺ and water: PCT 65%, PST 5%, DTL 5%, CD 5–25%",,,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,concentration of urine@CD reabsorbs H₂O due to osmotic gradient (300 → 1400 mOsm/L),,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,"Countercurrent multiplier system@PST & DTL permeable to H₂O, impermeable to Na⁺/Cl⁻; ATL & DST opposite → maintain corticomedullary gradient",,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,balancing of urea@50% of medullary interstitial hyperosmolarity maintained at tip of medulla,balancing of urea@50% of medullary interstitial hyperosmolarity maintained at tip of medulla,,,
urinary system,kidney,vasa cecta,UBERON:0004726,AS,,,Countercurrent exchange system@Maintenance of corticomedullary osmotic gradient,Countercurrent exchange system@Maintenance of corticomedullary osmotic gradient,,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,Control of H20 Excretion in the Urine@Water excretion = GFR × [P]H₂O – H₂O reabsorbed,Control of H20 Excretion in the Urine@Water excretion = GFR × [P]H₂O – H₂O reabsorbed,,,,
urinary system,,,,Unknown,,,,,,,,
urinary system,kidney,juxtaglomerular apparatus,UBERON:0002303,AS,,,Physiological Reactions to a Decreased Plasma Volume Due to Low Body Na+ Levels and Loss of H2O@↓ Na⁺ in DST sensed by macula densa → RAAS activation → ↑ Na⁺ reabsorption,Physiological Reactions to a Decreased Plasma Volume Due to Low Body Na+ Levels and Loss of H2O@↓ Na⁺ in DST sensed by macula densa → RAAS activation → ↑ Na⁺ reabsorption,,,,
urinary system,,,,Unknown,,,,,,,,
urinary system,kidney,juxtaglomerular apparatus,UBERON:0002303,AS,,,"Physiological Reactions to an Increased Plasma Volume Due to High Body Na+ Levels and Gain of H2O@↑ Na⁺ in DST or ↑ BP → ↑ ANP → ↓ RAAS, ↑ GFR, ↓ ADH → ↓ Na⁺ reabsorption","Physiological Reactions to an Increased Plasma Volume Due to High Body Na+ Levels and Gain of H2O@↑ Na⁺ in DST or ↑ BP → ↑ ANP → ↓ RAAS, ↑ GFR, ↓ ADH → ↓ Na⁺ reabsorption",,,,
urinary system,,,,Unknown,,,,,,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,"Renal Handingof K+@PCT absorbs 55%, DST 30%, DCT & cortical CD reabsorb/secrete, medullary CD reabsorbs K⁺",,,,,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,,Physiological Reactions to Low K+ Diet@↓ [P]K⁺ sensed by ZG cells → ↓ aldosterone → ↓ K⁺ secretion by CD,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,Physiological Reactions to High K+ Diet.@↑ [P]K⁺ monitored by zona glomerulosa (ZG) cells → ↑ aldosterone → ↑ K⁺ secretion by CD,Physiological Reactions to High K+ Diet.@↑ [P]K⁺ monitored by zona glomerulosa (ZG) cells → ↑ aldosterone → ↑ K⁺ secretion by CD,,,
urinary system,kidney,distal convoluted tubule,UBERON:0001292,AS,"Renal Handling of Ca2+@PCT absorbs 80%, DST 10%, DCT & CD reabsorb 5% respectively",,,,,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,Renal Handling of PO4 2-@PCT reabsorbs 85% of filtered solute; remaining 15% is secreted,Renal Handling of PO4 2-@PCT reabsorbs 85% of filtered solute; remaining 15% is secreted,,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,,Control of Ca2+ Excretion in the Urine@Ca²⁺ excretion = (GFR × [P]Ca²⁺) – Ca²⁺ reabsorbed,Control of Ca2+ Excretion in the Urine@Ca²⁺ excretion = (GFR × [P]Ca²⁺) – Ca²⁺ reabsorbed,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,Control of Ca2+: The Rest of the Story@[P]Ca²⁺ controlled by Vitamin D (liver & PCT hydroxylation),Control of Ca2+: The Rest of the Story@[P]Ca²⁺ controlled by Vitamin D (liver & PCT hydroxylation),,,
urinary system,kidney,nephron,UBERON:0001285,FTU,,,,Control of PO4 2- Excretion in the Urine@Ca²⁺ regulation is interrelated with other electrolyte and hormonal controls,Control of PO4 2- Excretion in the Urine@Ca²⁺ regulation is interrelated with other electrolyte and hormonal controls,,,
urinary system,kidney,kidney afferent arteriole endothelial cell,CL:1001096,CT,,,,,angiotensin-activated signaling pathway@Angiotensinogen → Renin → Ang I → ACE → Ang II,,,
urinary system,kidney,kidney afferent arteriole endothelial cell,CL:1001096,CT,,,angiotensin-activated signaling pathway@AT1 mediates classical RAAS effects; AT2 opposes AT1,angiotensin-activated signaling pathway@AT1 mediates classical RAAS effects; AT2 opposes AT1,,,,
urinary system,ureter,ureter,UBERON:0000056,AS,,,peristalsis@Ureteral peristalsis propels urine from renal pelvis to bladder,,,,,
urinary system,ureter,ureter,UBERON:0000056,AS,,,,flow adjustment@Adjust urine flow via peristalsis and pressure sensing,,,,
urinary system,ureter,ureter,UBERON:0000056,AS,,,,,tissue remodeling@Structural adaptation of urinary tract tissues,,,
urinary system,bladder,urinary bladder,UBERON:0001255,AS,,stretch reflex@Bladder wall stretch triggers micturition reflex,,,,,,
urinary system,bladder,urinary bladder,UBERON:0001255,AS,,,micturition@Coordinated CNS and PNS control of bladder emptying,,,,,
urinary system,bladder,urinary bladder,UBERON:0001255,AS,,,,storage-voiding cycles@Alternating phases of urine storage and voiding,,,,
urinary system,bladder,urinary bladder,UBERON:0001255,AS,,,,,sensory adaptation@Adjustment of sensory input during bladder filling,,,
urinary system,urethra,,,Unknown,,external sphincter reflex@Reflexive contraction/relaxation of external sphincter,,,,,,
