Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
endocrine system,parathyroid gland,,,Unknown,,,parathyroid hormone release@nan,,,,,
endocrine system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@granulosa cell SECRETES estradiol,,,,
endocrine system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
endocrine system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
endocrine system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
endocrine system,ovary,corpus luteum,UBERON:0002512,AS,,,,progesterone production@luteal cell SECRETES progesterone,,,,
endocrine system,ovary,corpus luteum,UBERON:0002512,AS,,,,progesterone production@nan,,,,
endocrine system,ovary,corpus luteum,UBERON:0002512,AS,,,,progesterone production@nan,,,,
endocrine system,ovary,ovarian follicle,UBERON:0001305,AS,,,,inhibin production@granulosa cell SECRETES inhibin,,,,
endocrine system,ovary,ovarian follicle,UBERON:0001305,AS,,,,activin production@granulosa cell SECRETES activin,,,,
endocrine system,ovary,ovarian follicle,UBERON:0001305,AS,,,,androstenedione production@thecal cell SECRETES androstenedione,,,,
endocrine system,adrenal gland,,,Unknown,,,,androstenedione production@zona reticularis SECRETES androstenedione,,,,
endocrine system,adipose tissue,adipose tissue,UBERON:0001013,AS,,,,peripheral aromatization@nan,,,,
endocrine system,skeletal muscle,,,Unknown,,,,peripheral aromatization@nan,,,,
endocrine system,skin,skin of body,UBERON:0002097,AS,,,,peripheral aromatization@nan,,,,
endocrine system,testis,,,Unknown,,,,testosterone production@leydig cell SECRETES testosterone,,,,
endocrine system,testis,,,Unknown,,,,testosterone production@nan,,,,
endocrine system,testis,,,Unknown,,,,testosterone production@nan,,,,
endocrine system,testis,,,Unknown,,,,testosterone production@nan,,,,
endocrine system,testis,,,Unknown,,,,inhibin B production@sertoli cell SECRETES inhibin b,,,,
endocrine system,testis,,,Unknown,,,,anti-müllerian hormone production@sertoli cell SECRETES anti-mullerian hormone,,,,
endocrine system,stomach,stomach,UBERON:0000945,AS,,,ghrelin production@gastric p/d1 cell SECRETES ghrelin,,,,,
endocrine system,adipose tissue,adipose tissue,UBERON:0001013,AS,,,leptin production@white adipocyte SECRETES leptin,,,,,
endocrine system,small intestine,ileum,UBERON:0002116,AS,,,glp-1 production@ileal l cell SECRETES glp-1,,,,,
endocrine system,small intestine,ileum,UBERON:0002116,AS,,,glp-1 production@nan,,,,,
endocrine system,small intestine,ileum,UBERON:0002116,AS,,,glp-1 production@nan,,,,,
endocrine system,small intestine,ileum,UBERON:0002116,AS,,,glp-1 production@nan,,,,,
endocrine system,small intestine,duodenum,UBERON:0002114,AS,,,gastric inhibitory peptide production@duodenal k cell SECRETES gastric inhibitory peptide,,,,,
endocrine system,small intestine,jejunum,UBERON:0002115,AS,,,gastric inhibitory peptide production@nan,,,,,
endocrine system,stomach,gastrin secreting cell,CL:0000509,CT,,,gastrin production@gastric g cell SECRETES gastrin,,,,,
endocrine system,stomach,stomach,UBERON:0000945,AS,,,gastric acid secretion@gastric parietal cell SECRETES gastric acid,,,,,
endocrine system,small intestine,duodenum,UBERON:0002114,AS,,,cholecystokinin production@duodenal i cell SECRETES cholecytokinin,,,,,
endocrine system,small intestine,duodenum,UBERON:0002114,AS,,,cholecystokinin production@nan,,,,,
endocrine system,small intestine,duodenum,UBERON:0002114,AS,,,secretin production@duodenal s cell SECRETES secretin,,,,,
endocrine system,small intestine,duodenum,UBERON:0002114,AS,,,motilin production@duodenal mo cell SECRETES motilin,,,,,
endocrine system,heart,heart,UBERON:0000948,AS,,,antrial natriuretic peptide production@atrial cardiomyocyte SECRETES atrial natriuretic peptide,,,,,
endocrine system,heart,heart,UBERON:0000948,AS,,,brain natriuretic peptide production@ventricular cardiomyocyte SECRETES brain natriuretic peptide,,,,,
endocrine system,kidney,juxtaglomerular apparatus,UBERON:0002303,AS,,,renin production@juxtaglomerular cell SECRETES renin,,,,,
endocrine system,lung,pulmonary capillary,UBERON:0016405,AS,,,angiotensin II production@pulmonary capillary endothelial cell SECRETES angiotensin ii,,,,,
endocrine system,kidney,proximal tubule,UBERON:0004134,AS,,,angiotensin II production@renal tubular endothelial cell SECRETES angiotensin ii,,,,,
endocrine system,kidney,renal glomerulus,UBERON:0000074,AS,,,prostacyclin I2 release@glomerular enothelial cell SECRETES pgi2,,,,,
endocrine system,adipose tissue,adipose tissue,UBERON:0001013,AS,,,adiponectin production@white adipocyte SECRETES adiponectin,,,,,
endocrine system,adipose tissue,adipose tissue,UBERON:0001013,AS,,,resistin production@white adipocyte SECRETES resistin,,,,,
endocrine system,placenta,placenta,UBERON:0001987,AS,,,parathyroid hormone related protein production@placenta SECRETES pthrp,,,,,
endocrine system,bone,,,Unknown,,,osteocalcin production@osteoblast SECRETES osteocalcin,,,,,
endocrine system,bone,,,Unknown,,,sclerostin production@osteocyte SECRETES sclerostin,,,,,
endocrine system,liver,hepatocyte,CL:0000182,CT,,,hepcidin production@hepatocyte SECETES hepcidin,,,,,
endocrine system,liver,hepatocyte,CL:0000182,CT,,,igf-1 production@hepatocyte SECRETES igf-1,,,,,
endocrine system,placenta,placenta,UBERON:0001987,AS,,,human chorionic gonadotroph production@placenta SECRETES beta hcg,,,,,
endocrine system,placenta,placenta,UBERON:0001987,AS,,,progesterone production@placenta SECRETES progesterone,,,,,
endocrine system,placenta,placenta,UBERON:0001987,AS,,,estrogen production@placenta SECRETES estrog,,,,,
endocrine system,vasculature,capillary,UBERON:0001982,AS,,nitric oxide production@capillary endothelial cell SECRETES nitric oxide,nitric oxide production@capillary endothelial cell SECRETES nitric oxide,,,,,
endocrine system,vasculature,capillary,UBERON:0001982,AS,,nitric oxide production@nan,nitric oxide production@nan,,,,,
endocrine system,liver,hepatocyte,CL:0000182,CT,,,FGF21 production@hepatocyte SECRETES fgf21,,,,,
